,comment_text,hf
138,"6. Pride (Yunani; \xe1\xbd\x99\xcf\x80\xce\xb5\xcf\x81\xce\xb7\xcf\x86\xce\xb1\xce\xbd\xce\xaf\xce\xb1-hyper\xc4\x93phania) keangkuhan/harga diri/kesombongan\ndikenal juga dengan sebutan hubris/vanity. harga diri yang tinggi dapat merubah manusia sombong, kesombongan membuat manusia terkutuk dimata tuhan.dan dapat membuat manusia mencintai dirinya sendiri-'",0
139,"Aku bertanya tujuan pada hati\nLogikaku yg menjawab \nTapi hati tak tenang\nAku bertanya pada logika \nHatiku sedih \nKu cari jawaban dalam wasiat yg Beliau tinggalkan. \nDan aku mulai menjadi terasing dan asing di mata manusia. \nTak apa duhai diri, ada",0
140,USER Tak hanya kurang bertaji nya kpk era ini...tapi era ini juga komitmen dlm pemberantasan korupsi tdk spt di era Pak sby....,1
141,RT USER: Admin tolol di partai tolol\nPartai Tolol untuk orang Tolol',1
142,"RT USER: Ayu Ting Ting Goyang Hot Dekat Raffi Ahmad, Nagita Slavina: Kampungan, Norak URL",0
143,Video ttg TKA dibuat oleh Malaysia tapi mengutip pernyataan saya di USER,0
144,PPP: Jangan Buru-buru Tolak Wacana Pilkada Lewat� DPRD,0
145,"Random pagi2 ada Bapak2 nyamperin ke meja kerja trus nanya ""pake bedak apa sih biar mukanya bersih, istri saya butek soalnya""\nIngin ku jawab pake air wudhu tapi ku Kristen.'",0
146,USER USER KO GUA KAMPRET',0
147,Memek lonte pengen disodok kontol gede',0
148,Jokowi aja yg mundur. USER tutup. URL,1
149,"USER Ngomong opo itu.mulut kok seperti banci...beli kaca dulu lihat dirimu,. Broo'",1
150,USER Ada amin rasis.\nAda amat dani\nAda ratna si paiiit.\nAda si onta.\nAda si lobang anus.\nJdi jngan takut wo wo..\nKehabisan obat penenang yh.',1
151,USER Tunggu komando IMAM BEJAT CABUL USER . TAIK BEER \xf0\x9f\x8d\xba\n\nApe2 bawa ULAMA...\nDASAR Banj SEMPAK',1
152,Kabinet berantakan \nPemecah belah persatuan hanya ad di rezim ini',1
153,"dih! Ngaku lebih pinter dr orang politik, NGACA DULU WOYY tampang loe aja k\xc3\xa6k orang BEGO!!! USER ckakakakak'",1
154,"#PDIPerjuanganMenang Dengan menekan perusahaan tambang dgn target proyek yang impossible, lalu dilelang murah pada antek Cina. NTB contoh kasus. PDIP mau menang? Dasar bajingan'",1
155,USER USER ga caya sama mulut buaya mu bwang',1
156,"2019, jika SBY + PRABOWO menyatu melawan MEGA + JOKOWI , maka peristiwa 2004 akan terulang dimana PDIP yg Incumbent dikalahkan mutlak oleh SBY. ; ; Tp jk JKW+MEGA+SBY melawan PRABOWO, mk Pilpres selesai sudah. ; ; Jk 3 Poros di Pilpres, mk salah satu Lawan",0
157,RT USER USER Jangan kayak BANCI KALENG kamu GATOT sering buat Gaduh gentleman lah MUNDUR siap bersaing di pemilihan presidens 2019 melawan Jokowi,1
158,bebal...,0
159,"5. Yang terakhir karena Indonesia negara dengan populasi muslim terbesar di dunia, yang mana Islam saat ini merupakan musuh barat &amp; Komunis karena dapat menghambat agenda dan kepentingan mereka.(Obviously)'",0
160,USER USER umuh &gt; persib\npersib kunyuk!!!!\n\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82',1
161,USER USER Buat film muslim pilih ahok mati nggak di sholatin......; dijamin laris ......,1
162,"tapi banu banu Yahudi itu tentu beda dgn banu banu Kristen Syriac. salah satu perbedaan ad banu Yahudi tetep pake ""eloah/ elohim/ yahwe/"" sedangkan Syriac sudah pake ""alah/ allah""'",0
163,USER Eh kenapa muka merah2 tu? Tak dpt cendol ke? Bukan la setan cuaca skrg ni panas.',0
164,Pemberitaan saracen diframing katak seakan tim prabowo dan anies-sandi. Seberulnya itu media menumpahkan sakit hati katak dan cebong. *Ehe,1
165,"Giat Bhabinkamtibmas Brigpol Mbs Sihombing pd hari ini, Rabu 11 April 2018 melaks sambang desa dan tatap muka sekaligus monitoring Kamtibmas menuju Pilkada 2018 di Desa Lobusiregar I, tepatnya dirumah Rudi Panjaitan, Helman Siahaan dan Hotman Siahaan",0
166,Syg bgt ya ngeliat perempuan kyk gini... Gak ada status apa2 tp udah nemplok sm laki-laki sana sini. Haduh....\nNagita Slavina Blak-blakan Sebut Ayu Ting Ting Kampungan \xe2\x80\x93 VIVA URL,0
167,USER Jgn lupa juga kang.... Umat katolik dan minorutas lainnya diperhatika. Gubernur untuk semua golongan bukan satu golongan.',0
168,USER USER USER USER Kan ane bukan cebong udeh dibilangin dari maren masih ngeyel\nSitu maksa ane jadi cebong?',1
169,"USER Kelemahan gerindra itu ada di orang ini,...Prabowo turun elektabilitasnya karena CONGOR fadlizon spt DURNO'",1
170,"Selamat Hari Kartini, setiap kali selalu dirayakan, lalu apa maknanya kali ini �?�?",0
171,"Foto memang bisu ,tpi memiliki banyak arti yg sush diartikan,sma seperti kamu susah diartikan,mau putus atau lanjut ?'",0
172,USER wakakakaka aku sudah mengalaminya \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 tetiba muncul grub wa a.n Bani Abd Hadi a.k.a mbahku dan seketika aku mek kenal beberapa orang saja \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\,0
173,"abam pres badar n nuqaba pling boekkk�???, dia ni hebat dlm bidang agama, x tkut nk tgur member sndiri, n selalu wat lawak hambar (yg pling aku ingt smpai skrg lawak dia klau org ckp jom gerak skrg dia akn gerakkn badan dia yg chubby tu)�???,",0
174,�??Seorang anak Pekan telah mengilhamkan Dasar Ekonomi Baru (DEB) dan menjadi penggerak utama kepada kemajuan ekonomi luar bandar. Beliau adalah Allahyarham Tun Abdul Razak�?? - DS USER #MalaysiaMemilih #HogohUndi,0
175,"USER USER Hahaha sialaaan nih si USER,; ; ternyata klo lg laper, ; presiden juga mau disikat sama doi�???�??�; ;",0
176,"USER USER USER mau menasehati kali supaya ga ugal2an nih rezim.. eh tapi ini negeri sdh keburu ancor..nah skrg saja ekonomi morat marit,, kacaoooooo!!'",1
177,"USER aelaah silit kebeler,. ngapa dikasianin,., org makin sayang saya pak,.,\nsetelah kasus sosmed gw baru sadar bbrapa hal di seitansai kemarin.,.\ntar gw ceritain,., duuuhhh,. \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\x98\x85'",0
178,"USER iya, tdi cacad'",0
179,"USER tahun 2019 Rakyat makan ASPAL dan BETON; ini adalah solusi jitu mengurangi kemiskinan; ; KEAHLIAN CEBONG HANYA 1, TUKANG TIPU !!!; cebong mah gitu, goblok nggak ketulungan. Plonga plongo mengakibatkan optimisme berlebihan; ; #2019GantiPresiden #",1
180,"USER Aku pernah sempat baca ttg Harun Yahya ini yg 'membelot' ke kubu Yahudi dgn Freemasonry nya...kdg suka ga percaya...""",0
181,Kita Maju Bersama Ulama ; Kita Bergerak Bersama Semua Tokoh Agama untuk Indonesia; #NderekGusMus,0
182,USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER,0
183,"#MukidiKepedean ; Pertanyaan mudah ya..; Dijawab yg keras , tapi Saya minta dijawab yg keras , siapa nama Saya ?",0
184,USER Kemarin di hujat sekarang mengharap dasar para bani kamprey',1
185,"USER Penjelasan sy bukan FITNAH, silahkan DIBANTAH USER Apollinaris Darmawan Sebut Al-Quran Kitab Sampah",1
186,"Monyet aja koloe dbilang saudra sma elo pasti ogah, hdupmu kok gini amat ya.. Toe Hati apa comberan? USER'",1
187,Body Lufra/ scrub dg bhn dasar lidah buaya utk mlembabkn kulit &amp; lbh bcahaya info: 087812026394 #BMI',0
188,USER Tak punya cacat di masa lalu krn blum bermasa lalu',0
189,USER USER jangan2 penganut bumi datar juga? \xf0\x9f\x98\x9d\nsoalnya teori bumi bulat kan dari orang asing yg notabane musuh mereka.',0
190,"Becak Warga Binjai Hendak Disita karena Gunakan Tenda Bertuliskan #2019GantiPresiden, PKS MERADANG; ; Bukti pemerintah panik dan takut?; ;",1
191,lebih baik jokowi mundur..,1
192,Munas Alim Ulama PPP di semarang. menghasilkan lima rekomendasi syarat dan kriteria-kriteria bagi Calon Wakil Presiden yang akan mendampingi Bpk Jokowi di 2019 mendatang. #Romahurmuziy,0
193,USER Luar biasa pencerahan nya.. Saya merasa gagal sebagai anak ekonomi.. Wkwk,0
194,"USER USER USER USER Kafan berasal dari budaya yahudi, kenapa umat Islam mengklaim ?'",0
195,Oleh rezim skrg atas kendali Negara Cina Komunis yg mjd patron tunggal rezim anti islam ( Jokowi ),1
196,USER USER itu tanda nya mau pilkada n pilpres,0
197,Misi4: Membangun masyarakat yang gotong royong toleran dan harmoni selaras nilai budaya Jawa Barat yang luhur #No3JabarAsyik #Asyikm3nang,0
198,Ketabahan pasangan En Taufiq dan Puan Nurliyana yang wajar dicontohi.. jom kita beri sumbangan untuk meringankan beban pasangan ini... come on twitter do your things! ; ; BSN - 0510541000096745 ; Bank Islam - 05058020145124 ; (Nurliyana bte Abdul Raziff) ;,0
199,"USER Apaansi tai baru gt doang belagunya udah selangit. Ga inget ada karma? Ntar bbrp taun lagi kalo idol lu flop, gua ketawa paling keras.'",1
200,USER USER celeng kgn gw y',0
201,"#TerangiNegeri dengan budaya , yuk pada visit ke purwokerto ,mumpung Ada even rakyat.; .; #purwokerto; #extravaganzabanyumas",0
202,"Presiden itu punya dana taktis, dia bisa menggunakan untuk kepentingan rakyatnya di luar program2 pemerintah yang sudah ada. Soal program banyak sekali: ada pembangunan infrastruktur, KIP, KIS, Sertifikat tanah, perhutanan sosial, BBM 1 harga, padat karya,",0
203,USER Aamiin ya Allah :(((\nTimnya Kinan aja sampai pelatihan ular karena dia dapat di rawa-rawa. Aku dapatnya di sungai gede gt dan musuhnya buaya wkwkw',0
204,USER USER MAJU KAMU NGATAIN MAMA AKU BOLOT',1
205,"Grombolan Kadal Jidat gosong,mmg bgtu, sukanya ribut tapi klo grombolanya yg salah pura2 Budek..Dasar Grombolan Cingkrang URL",1
206,USER USER USER Segitu gentarnya dia takut terhadap Kafir...\xf0\x9f\x98\x81',0
207,RT USER USER betul padahal saracen juga siapa sehingga akun yang kritis dianggap saracen kan aneh jokowi,1
208,USER siapa bego lu bukan tmn gua najis dah kesel sendiri gue',1
209,USER USER Kafir kristen selalu buat ulah,1
210,"USER Tau dong, bau baunya udh keciri ini sipit buluq'",1
211,"USER kayak memegang, bukan mucikari'",0
212,"Guru TK Dharma Wanita Persatuan Desa Plumbon Porong Deklarasi anti HOAX ,Ujaran kebencian, issu sarah dan mendukung pilkada damai",0
213,USER Anjir serem maennya begituan \xf0\x9f\x98\x82\xf0\x9f\x91\x8c',0
214,USER Kayaknya bisa? Atau cuma bank tertentu? Bilang aja mau jual uang asing/tukar ke rupiah',0
