,comment_text
18,War schon ein abgelehnter Asylbewerber! Hätte man ehr reagieren müssen! Oder bzw nicht erst einreisen lassen dürfen! ZDF will nur gute Kommentare! Im Bezug auf einen Bericht diesbezüglich wurde ich heute geblockt😁
19,Wann geht der wieder nach Hause?
20,"Für Mechthild Knösel lässt sich Tierwohl und Fleischproduktion verbinden, doch das hat auch seinen Preis. Wie ist Ihre Meinung zu diesem Thema? Sind Sie bereit mehr Geld zu zahlen, um eine artgerechte Tierhaltung zu ermöglichen?"
21,Ein staatliches Tierwohl-Logo kommt in dieser Legislaturperiode wohl nicht mehr. Noch immer gibt es Differenzen zwischen den Koalitionspartnern und die Zeit geht aus. Mehr Infos: https://kurz.zdf.de/hcU/
22,"Lecker, billig und nachhaltig: Alles gleichzeitig geht nicht, aber die Kriterien für den Kauf von Lebensmitteln sind eindeutig. Eine Umfrage zeigt, was den Deutschen wichtig ist. Die Einzelheiten: https://kurz.zdf.de/x2G/"
23,Der Discounter Aldi will in seinem Sortiment bis 2030 nur noch Fleisch aus tierwohlgerechter Haltung der Stufen drei und vier anbieten. Das hat auch Auswirkungen auf die Preise. Mehr Infos dazu: https://kurz.zdf.de/oKbJ/
24,"Es ist immer die Frage redet man hier von einem landwirtschaftlichen Betrieb, wo es darum geht Milch und Fleisch zu produzieren, und ein Einkommen für seine Arbeitsleistung zu erzielen. Oder reden wir von einem Streichelzoo oder Tiergarten Wo Besuchern Geld abgenommen wird um Tiere zu sehen. Stellt euch vor es werden plötzlich alle landwirtschaftlichen Betriebe ein Gut Aiderbichl Was will die Welt dann essen? Nur mehr Tofu und vegane Schmankerl? Hoffentlich müsste dafür kein Regenwald sterben und es alles Regional und Bio. Es ist im Interesse des Landwirte gesunde Tiere zu haben, denn sonst kann er auch nicht wirtschaften."
25,"Das Hofgut hat über 200 ha, der Durchschnittsbetrieb in Baden - Württemberg hat nur 35 ha und keine riesigen Gewächshäuser wie das Hofgut in Überlingen, mal angenommen wir machen das in Deutschland überall so, was wäre die Folge? 1. müssten wir die Rinderanzahl verdoppeln, müssten wir das doppelte an Geld für Lebensmittel aufbringen. 3. könnten wir maximal 50 Mio.  Menschen ernähren. können wir so machen, ich hab da kein Problem mit nur ob die breite Masse unserer Bevölkerung möchte ich bezweifeln."
26,"Wow, drei Monate wie großzügig 🤣"
27,Traumhaft romantisch....und am Schluss wird das Kälbchen zur Tötung im Schlachthof getreten...schon mal dabei gewesen....? Es ist der pure Grauen und die Dame ist eine Heuchlerin...ITS NOT FOOD - ITS VIOLENCE 
28,Tolle Frau👍👍👍
29,Stressfreie Schlachtung? 😁😆😅🤣
30,"Welche Corona-Regeln gelten in welchem Urlaubsland? Was ist geöffnet, welche Nachweise braucht man? Ein Überblick über ausgewählte Länder. https://kurz.zdf.de/NZC/"
31,"Das zwischenzeitlich ca. 35% der Bevölkerung komplett geimpft sind, scheint diese Panikschürer überhaupt nicht zu interessieren 😡"
32,Warum sollten sich eigentlich alle impfen lassen wenn wir trotzdem unser normales Leben nicht wiederbekommen??
33,"Wem nützt es den Bürgern mit diesem vorgeschlagenen Testirrsinn die kleine Freiheit ""Urlaub im Ausland"" zu verleiden? Richtig den klassischen deutschen Urlaubsbundesländern! Hier stehen die MPs (z.B. Holoczeks Bayern) dann gut da, wenn auch die letzte Garage als Ferienwohnung vermietet ist! Schwesig aus McPom kam auch schon auf diese glorreiche Idee"
34,"Es drängt sich immer mehr der Eindruck auf, dass es nicht um ""Gesundheitsschutz"" geht. Viel eher will man vermutlich die Gesellschaft umbauen. Es gibt kein Problem und wir werden trotzdem hinter Masken gezwungen. Selbstverantwortung will kaum jemand von den Regierenden zulassen. Wer jetzt noch an die Märchen der Regierung glaubt, der ist ein Opfer der Propagandamaschine. Ich lasse mir das alles nicht mehr bieten !!!"
35,"Folgende wahre Begebenheit die ich der letzten Woche mitgemacht habe.Testpflicht bei der Einreise per Flugzeug aus NICHT Risikoländern: Am Mittwoch vorschriftsmäßig in Rumänien einen „PCR-Test“ gemacht ( 47€ ) .Von der EU zugelassene Privatklinik.Teststäbchen wurde nur kurz in ein Nasenloch gehalten. (PCR-Test ? ). Nach 12 Stunden konnte ich das amtliche Testergebnis ( nach EU-Vorgaben) abholen. „Ganz überraschend“ NEGATIV. 3 Tage gültig. Es ist doch klar, dass Länder mit einer niedrigen Inzidenz ( Rumänien < 3 ) kein Interesse daran haben, Leute mit „positiven“ Tests im Land zu belassen. Die gilt garantiert auch für Staaten wie Spanien oder Frankreich. Jeder Tourist der „negativ“ ist, ist  keine Gefahr mehr für die Einheimischen! Diese Einreise Verordnung für Flugreisende aus NICHT Risikoländern ist der größte Bullshit und nutzt nur den Testlaboren in den jeweiligen Ländern! Ein weiterer Beweis für das jämmerliche Handeln  der Merkel Bande!"
36,"Er soll auf Impfen setzen, die Tests kann er sich sparen. "
37,"Und ich fordere, dass jeder Politiker seinem Wissen und Kenntnissen entsprechend ein Amt in der Politik bekleidet, leider sind 90 % nicht für Ihre Aufgabe geeignet,  die Dunkelziffer liegt wohl noch weit höher!"
38,"Gilt das für alle, die nach Deutschland reinkommen oder nur für Rückkehrer?"
39,"Wir befinden uns in einem Impf-Wettlauf mit der Delta-Vatiante. Wir können es uns definitiv nicht leisten, noch mehr Infektionen einzuschleppen. Nicht notwendige Aufenthalte in Risikogebieten sind nicht zu verantworten. Genießen der Lockerungen, mit Verantwortungsbewusstsein, ist angesagt."
40,"Homosexuelle werden in der Türkei bedroht und beschimpft. Auch der Staat macht mobil gegen sie – etwa mit einem Verbot der beliebten ""Gay Pride""-Parade in Istanbul. Hierzulande haben gestern mehrere tausend Menschen zum Christopher Street Day (CSD) in Berlin für Gleichberechtigung von Schwulen, Lesben und anderen sexuellen Minderheiten demonstriert. Die Mischung war wieder bunt und laut, mindestens ebenso viel Party wie Demonstration. Sie liefen in drei Protestzügen Richtung Alexanderplatz. Viele Teilnehmer hatten Regenbogenfahnen dabei, einige war verkleidet, laute Musik lief zur Begleitung. Hier erfahren sie mehr: https://kurz.zdf.de/3ifY/"
41,"Schön wie sie mit ihren eigenen Bürgern umgehen und die meinen sie hätten Ehre und Stolz ? Eine Schande , so sehe ich das Neutraler,  jeder soll den lieben wie er mag.!"
42,Irrelevantestes Thema! Schreiben Sie lieber wie tolerante Willkommenspolitik und „kulturelle Bereicherung Deutschlands“ die deutsche Bevölkerung vernichtet! Wenn Sie diesem Thema so viel Zeit widmen würden wie dem Regenbogen!...
43,"Was will man von einem Autokraten erwarten? Ihm ist völlig egal was die Welt über ihn denkt, aber ich finde es hervorragend von den Menschen, die sich trotzdem trauen auf die Strassen zu gehen und für ihr Recht kämpfen. Er lebt nicht ewig und die Erwartungen an das danach sind mächtiger, als die Angst vor dem Jetzt . Ich umarme alle Menschen, die den Mut haben, etwas zu verändern, dass diese Welt endlich von den Schrecken der Autokratien befreit wird und Frieden für die Kinder herrscht und eine bunte Welt die Zukunft ist "
44,"Gibts es dazu von offizieller Regierungsseite auch eine entsprechende Protestnote und werden Wirtschaftssanktionen verhängt? Wie wär es, wenn Ilkay Gündogan am Dienstag im Regenbogenshirt🌈 auf der PK erscheint und auch später auf der Ersatzbank bei „Die Mannschaft“ sitzt?!🤔"
45,Deshalb sollte man über das Thema Beitritt der Türkei zur EU nicht weiter nachdenken.  Das Land hat da nichts zu suchen.
46,"Respekt verlangen und dann die Nationalhymne stören und ausbuhen 👎🏽 sich in die Politik anderer Länder einmischen ( Ungarn, Polen, Türkei, Russland etc), aber bei der Politik im eigenen Land sich im Keller verstecken. #genaumeinhumor"
47,Unglaublich ...deutschland sollte sofort der Türkei den Krieg erklären. :)Ironie aus...... Im Gegensatz zu Deutschland werden die Corona Verordungen konsequent durchgesetzt......nicht hier Jugendliche aus dem Park mit einer Hundertschaft verjagen weil sie feiern möchten und auf der anderen Seite eine CSD mit zig Menschen  ohne Abstand und Mundschutz ziehen lassen.
48,"So eine Demo ist riskant für alle Teilnehmer. Dabei geht es nur um Liebe. Ich hoffe, dass auch in der Türkei diesbezüglich eine Weiterentwicklung geschieht.  Da kann die EU gerne eingreifen."
49,erklärt uns bitte den unterschied zwischen staat und der dortigen religion.  
50,"Nach dem Teileinsturz eines zwölfstöckigen Wohnhauses im US-Bundesstaat Florida ist ein weiteres Todesopfer gefunden worden. Die Rettungskräfte hätten in den Trümmern am Samstag einen weiteren leblosen Körper entdeckt, sagte die Bürgermeisterin des Bezirks Miami-Dade, Daniella Levine Cava. Die Zahl der identifizierten Toten sei damit auf fünf gestiegen. Mehr als 150 Menschen gelten weiter als vermisst. Die Zahl liege aktuell bei 156, sagte Levine Cava. Die Behörden hatten aber zuvor bereits betont, dass die Vermissten nicht unbedingt auch alle in dem Gebäude gewesen sein müssen."
51,"Das strandnahe Gebäude in Surfside nahe Miami mit rund 130 Wohneinheiten war in der Nacht zu Donnerstag teilweise eingestürzt. Die Menschen wurden im Schlaf von dem Unglück überrascht. Seitdem läuft eine verzweifelte Suche nach Überlebenden. Es ist ein Wettlauf gegen die Zeit. Rettungsteams sind rund um die Uhr im Einsatz - mit Spürhunden, Spezialkameras, Horchgeräten und schwerem Gerät."
52,"Die Ursache des teilweisen Einsturzes ist weiter ein Rätsel. Der als Champlain Towers South bekannte Wohnkomplex stammt aus den 1980er Jahren. Am Wochenende wurde ein von einer externen Firma verfasster Inspektionsberi cht aus dem Jahr 2018 öffentlich, in dem Experten mehrere Mängel, darunter auch größere strukturelle Mängel am Beton des Gebäudes, aufgelistet hatten. Ob diese in irgendeinem Zusammenhang mit dem Einsturz stehen könnten, blieb offen."
53,Sehe es als bau mängel fusch
54,"Bei allem Respekt vor dem Ernst der Lage. Wer Rettungshelfer* innen schreibt hat nicht mehr alle Latten am Zaun. ......und nein, bevor wieder die Regenbogenkeule kommt, ich fühle mit jedem Opfer mit und unterstütze sogar die örtlichen Retter."
55,USA hatten ihren Höhepunkt in den 1960 ern. Seit her gammelt alles. Und wegen Ausverkauf Deutschlands durch Merkel wird es so was auch in Deutschland geben. Siehe Brücken in Wiesbaden
56,Genderschrott.
57,Tja Holzhütten können sie. Richtige Häuser nicht
58,Mitten im Kampf gegen die Delta-Variante ist der britische Gesundheitsmini ster zurückgetreten. Grund: Eine Affäre mit einer Mitarbeiterin. Hancock steht schon länger in der Kritik. Die Nachricht im Detail: https:// kurz.zdf.de/ rBzA/
59,"Britische Medien hatten zuvor über eine Affäre des Ministers mit einer engen Mitarbeiterin berichtet. Die ""Sun"" veröffentlichte ein Bild einer Überwachungskam era vom 6. Mai, auf dem Hancock die Frau in seinem Ministerium küsst. Damals galten in England noch Kontaktbeschrän kungen und Abstandsregeln. Zu seinem Nachfolger wurde der frühere Finanzminister Sajid Javid ernannt. Javid war im vergangenen Jahr nach einem Machtkampf mit einem von Johnsons engsten Verbündeten zurückgetreten."
60,"Das wäre doch ein Vorbild für Jens Spahn, an diesem Minister könnte sich auch die Politik-Elite, die Arm in Arm in Cornwall feierten ein Beispiel nehmen. Diese Konsequenz ist den deutschen Politikern komplett abhandengekomme n. Gerade stehen für den Unfug den sie zu verantworten haben."
61,"Spahn könnte ne Orgie feiern und würde nicht zurück treten, hier kann inzwischen jeder machen was er will, ohne Konsequenzen zu ziehen"
62,Dass beide verheiratet sind interessiert schon gar niemanden mehr. Es geht nur noch um Abstandsregeln wg Corona🤦🏼‍♀️wo bleibt euer Aufschrei deswegen und wo der gesunde Menschenverstan d. Alles ohne Maß und Ziel!
63,"Interessant. Unsere Kanzlerin tritt ja noch nicht einmal bei mehrmaligen Verstoß gegen die Verfassung zurück, geschweige werden Klagen gegen Sie zugelassen."
64,"In Großbritannien wird wegen solch einer kleinen Sache zurück getreten und in Deutschland kleben Gesundheitsmini ster Spahn und Verkehrsministe r / Taskforce Manager für Impfstoffbeschaff ung Andreas Scheuer, wie alte Kaugummi's unter einer Schulbank, an ihren Posten, trotz massenhafter, echter Skandale ( Maskendeals, Intensivbettens kandal, Betrug von Testzentren und Apotheken bei der Abrechnung, Impfstoffskanda l etc. ) 🤦‍♂️😥"
65,Ein Gesundheitsmini ster der Verantwortung übernimmt. Da sollte Spahn sich mal dran orientieren.
66,"Komisch, im Ausland haben viele die Eier für ihre Fehltritte die Konsequenzen zu tragen. Und treten zurück. Wann übernehmen unsere Politiker die Verantwortung für ihre Vergehen? Maskendeals, Intensivbetten Affäre, Plagiate. Steuergeldversc hwendung bei Projekten wie Drohnen, Maut und Impfstoff. Beraterhonorare . Wahl in Thüringen. Fällt noch jemand was ein? Ist aber schon mehr als genug allein in den letzten Jahren!"
67,"Und in Deutschland: Rücktritt nur wenn dein Dr.Titel erschwindelt wurde, ansonsten kannst du Affären (wie Masken, Maut etc) haben wie viele du willst, Hauptsache du hast den Dr. Titel nicht erschlichen 🤣🤣"
68,"Das geht aber unseren Minister am Allerwertsten vorbei, ob Steuergelder verbrennen oder oder sonstige Vergehen."
69,"Wegen das zurück getreten, und unsere Gesundheit Minister hält an der Macht Stuhl fest, unsere Politiker sind macht geil"
70,"Es ist immer spannend die Begründungen für Rücktritte aus PM Boris Kabinett zu lesen.  Jetzt tritt also Hancock zurück weil er - noch in Kontaktbeschrän kten Zeiten - mit hoher Wahrscheinlichk eit beim Fremdgehen erwischt wurde.  Interessant.  Gab es da nicht die Vorgabe ""ein Haushalt - plus eine Person""?  Gerade ""Boris"" hat ja die soziale/ gesellschaftlich e Vorgabe für sich eher weit ausgelegt. So als Daddy eines während der Regentschaft geborenen Kindes ..."
71,Andere Gesundheitsmini ster sollten sich daran ein Vorbild nehmen.  https:// www.apotheke-adh oc.de/ nachrichten/ detail/politik/ spahns-deal-mit- logistiker-aus- der-heimat/
72,Vetternwirtscha ft war das Problem.  In England tritt man dafür zurück.
73,"Glauben Sie im Ernst, dass ein Kuss einen Rücktritt auslöst oder der daraus resultierende nicht eingehaltene Mindestabstand ? Er ist zurückgetreten weil er sich politisch nicht mehr halten konnte und auch Boris konnte ihn nicht mehr decken. Die Gründe für seinen Rücktritt sind mannigfacher Natur und reichen in die Strafgerichtsba rkeit:  Ämterpatronage  Vergabe von Aufträgen an Freundin und Freunde von Freunden ohne Ausschreibung und ohne Hinzuziehung und Information des Parlaments  (Manipulation und Veröffentlichun gen falscher COVID-19 Zahlen, wie ihn der ehem. Regierungsberat er Dominic Cummings beschuldigt)  Dagegen ist doch eine Affäre oder ein gefilmter Kuss recht harmlos. Im übrigen hat sein Chef Boris ja genügend Erfahrungen auf diesem Gebiet 🤣  Dass Hancock seine Freundin und deren Freunde mit Aufträgen und Posten gesegnet hat, steht auf einem anderen Blatt, zumindest juristisch."
74,"Nach den USA nun auch GB, jetzt fehlt nur noch Spahn ..."
75,Hut ab vor diesem Politiker. Unsere sollten nach den vielen Fehlentscheidun gen sich als Beispiel nehmen. 👍👍👍
76,"Die Briten haben noch Glück und die Minister treten zurück, wenn Sie Mist gebaut haben…"
77,Wenn wegen so einer Lappalie ein Politiker zurücktritt und man das auf Deutschland umsetzen würde hätten wir keine Politiker mehr aber die Politiker in Berlin kehren alles unter dem Teppich weil sie sich für was besseres halten und obendrein noch Machtgeil sind. 😡😡😡
78,Spahn hat mehr auf dem Kerbholz. Der Brite war wohl nicht bei der KlausSchwabUni?
79,"Morgens um kurz vor 7 vorwiegend Kommentare von Männern, die nichts anders zu tun haben als höhnische, unsachliche und diskriminierend e Kommentare zu schreiben. Ätzend!"
80,Oh man seid froh das man vielen nicht ansieht wer eine Affäre hat und den Job kündigen müßte 😜🤣
81,Na Herr Spahn ?
82,"Was sich Scheuer & Klöckner wohl denken, wenn die so einen Artikel lesen?"
83,Schickt unsere Politiker zum Austausch nach London. Viel zu lernen sie noch haben.
84,Wir hatten auch Masken Affären (Debakel) in unserem Land es gab auch Bereicherung seitens der Politik die sind immer noch auf ihrem Platz.
85,"was kommt denn nach der Delta-Variante, nicht das uns langweilig wird"
86,Kann man das Wort Rücktritt bei uns im Bundestag nicht auch mal wieder bekannt machen?
87,Dabei hat er sich nur um das gute Arbeitsklima gekümmert ... 😁
88,"Italiens Rekordjäger haben mit einem historischen Sieg das Viertelfinale der Fußball-EM erreicht. Der viermalige Weltmeister setzte sich mit 2:1 (0:0) nach Verlängerung im Londoner Wembley-Stadion gegen Außenseiter Österreich durch und ist erstmals in der Geschichte seit 31 Spielen ohne Niederlage.  Federico Chiesa (95.) und Matteo Pessina (105.) erzielten die Tore für die Azzurri, die ihren zwölften Sieg in Serie feierten. Dem Stuttgarter Sasa Kalajdzic (114.) gelang nur noch der Anschlusstreffe r."
89,Glückwunsch Italien und großen Respekt an Österreich 👏👏👏Ihr habt super gekämpft
90,"Hätte es von <3 Österreich gegönnt, sehr schade. Respekt vor dieser Leistung (-:"
91,"Geiles, faires Spiel! Beide Mannschaften haben bis zur letzten Minute hart gekämpft, Respekt Österreich, Glückwunsch Italien!"
92,"Danke Österreich für diesen wunderbaren Fußball-Abend! So geht Fußballleidensc haft! ❤️ Da kann so manch eine Fußball-Nationa lmanschaft sich eine Scheibe von ab schneiden! Für mich seid ihr die Sieger, denn das war Leidenschaft!"
93,Mist. Österreich herzlichen Glückwunsch zu der Leistung. Ich hätte es ihnen so gegönnt.
94,"Schade, hätte mich für Österreich ob der Leistung sehr gefreut."
95,"Glückwunsch Italien, Mega-Respekt Österreich. Und mal wieder ein total wirrer und überforderter Bela R."
96,"Ein spannendes Spiel, von beiden Mannschaften und am Ende knapp gewonnen⚽🙂 Viele Tore, viel Leidenschaft und weitesgehend fair gespielt. Österreich kann verdammt stolz sein! Zugegebenermaße n hätte ich Österreich den Sieg einen Ticken mehr gegönnt, aber für Italien hat sich am Ende eben durchgesetzt. Hoffentlich sind die restlichen Partien aus der k.O Phase genauso spannend."
97,"Wer hat denn bitte diesen Text verfasst? Italien hat sich verdammt schwergetan gegen die österreichische Abwehr und hat trotz Überlegenheit in der 1.Halbzeit keine Tore erzielt. Die beiden Treffer in der Nachspielzeit waren glücklich, aber dennoch hat Österreich bis zum Schluss auch mit dem verdienten Anschlusstreffe r gefightet. Kann man auch erwähnen! 😉"
98,Hätte lieber die Österreicher weiter bei der EM gesehen.
99,Top Leistung der Österreicher! Respekt 👏👏👏
100,Sehr schade 😥 Österreich war definitiv die bessere Mannschaft Danke Österreich für dieses fantastische Fussballspiel
101,Herzlichen Glückwunsch Italien 🇮🇹 die sich ungewohnt gegen kämpfende Österreicher wahrlich schwer taten. Respekt an den Nachbarn für die beachtliche Leistung. Kopf hoch Jungs 🇦🇹
102,Kompliment an die Leistung von Österreich. Glückwunsch Italien. Spannendes Spiel.
103,"Herzlichen Glückwunsch, Österreich, für diese super Leistung. Völlig unverdient ausgeschieden. <3"
104,Mit der Leistung sieht es ganz dunkel aus gegen Portugal/ Belgien.... Österreich. Respekt für ein Hammer-Spiel. Ihr habt es uns schwer gemacht. 👏 Ihr wart der Hammer! Mein allergrößten Respekt!
105,"Wenn es endlich für alle Schwalben, wegen Unsportlichkeit , gelbe Karten gäbe, wäre die halbe italienische Mannschaft nicht mehr auf dem Platz gewesen. Italien dürfte dass aber schon immer, also sind alle daran gewöhnt. Auch darf Italien in den Torhüter grätschen, ohne Gelb zu sehen. Natürlich waren die Italiener die besseren Fußballer. Aber die bessere Mannschaft war Österreich."
106,"Italien ist Italien 🇮🇹. Am Ende siegt die fußballerische Qualität. Top Leistung, Italien! Brávo!"
107,Respekt an die österreichische Mannschaft für diese spielerisch sehr gute Leistung. ♥️
108,Tolles Spiel mit unerwartet starken Österreichern. Und das heutzutage irgend ein Team einfach so durch ein Turnier fegt kannst vergessen. Trotzdem bleibt Italien für mich einer der heißesten Kandidaten auf den Titel.
109,AUT(sch)...... schade.....ich hätte es euch von ❤️-en gegönnt. Tolle Leistung! Chapeau👏
110,"Respekt der Östereichichen Mannschaft...da s sage ich, der einige Zeit als Deutscher in Östrogenreich lebte zu meinem eigenen Erstaunen."
111,Das ist wie immer der eine kämpft spielt klasse und würde es verdienen. ...und die anderen gewinnen wieder mit Glück
112,Österreich hatte nichts zu verlieren und hat einfach fantastisch gespielt. Nur wer gegen Italien gewinnen möchte muss alles vorher klar machen. Geht das Spiel in die Verlängerung kann jeder die Koffer packen und nach Hause fahren. Mein Respekt gehört heute Österreich
113,"Die Österreicher haben es verdammt spannend gemacht. Superleistung!! ! Können sehr stolz drauf sein, das erste Gegentor errungen. Schade, dass sie knapp am Sieg vorbei sind. Wäre ja mal eine Abwechslung gewesen. Der Kommentator des ZDF, Bela Rethy, war extrem parteiisch für Italien und das war sehr unprofessionell und ungerecht! Meine Meinung. 😃"
114,"Österreich, ihr habt heute mein Herz gewonnen. Ihr habt wirklich toll gespielt - chapeau 👏  Forza italia - nichtsdestotrot z ❤️"
115,Herr Bela Rethy war heute wieder total neben der Spur
116,Beide Mannschaften haben gekämpft bis ans bittere Ende. Mein Respekt gilt Österreich. Herzlichen Glückwunsch an Italien. ❤❤❤
117,"Respekt vor Österreich, sehr sehr gut gespielt!"
118,"Liebe Community, wie immer gilt: Diffamierungen und Hasspropaganda sind auf dieser Seite nicht erwünscht. Bitte halten Sie sich an unsere Netiquette und beteiligen Sie sich sachlich und fair an der Diskussion. Die ZDF-Netiquette finden Sie hier: https://kurz.zdf.de/Da2/"
119,"Nach dem Messerangriff in der Würzburger Innenstadt sind viele Fragen offen. ZDF-Korrespondentin Patricia Schäfer berichtet, was zum Täter und zum möglichen Motiv bekannt ist: https://kurz.zdf.de/zXTC5/"
120,"Mehr Infos zur Messerattacke in Würzburg, was wir wissen bzw. was wir nicht wissen, finden Sie hier: https://kurz.zdf.de/aXi/"
121,"Gelebte Zivilcourage und großen Respekt für alle die geholfen haben den Angreifer zu überwältigen. Helden der Gesellschaft, die schlimmeres verhindert haben und Dank gebührt."
122,Hallo ZDF… mal wieder beim Zensieren??? Vom Mainstream leider schon gar nichts andres mehr zu erwarten… Hauptsache die Beiträge fließen???!!!
123,Lächerlich ZDF … mit Kritik muss man leben können… deaktiviert doch einfach die Kommentarfunktion! 
124,Die Passanten haben mit ihrem Mut weitere Opfer verhindert. Meine Gedanken sind bei den Verstorbenen und Verletzten sowie deren Angehörigen. Unfassbar so aus dem Nichts so brutal aus dem Leben gerissen zu werden.
125,"Ich stehe der Zivilcourage zwiespältig gegenüber. Diese Menschen haben ihr Leben riskiert. Dadurch ist vielleicht schlimmeres vereitelt und der TV schnell festgesetzt worden. Sie haben großartiges getan. Ich weiß, was ich in der Situation getan hätte. Nichts. Sie haben ihr Leben riskiert. Sie haben ihr Leben riskiert."
126,"Mir macht dieses ""Engagement"" der Bürger eher Angst. Zum Glück eskalierte die Situation nicht ins Gegenteil."
127,"Nicht Passanten müssten sowas verhindern , sondern die feinen Damen und Herren namens Politiker ! Sie allein tragen dafür die Verantwortung ! Wer hier angeblichen Frieden und Schutz sucht , dann Straftaten begeht , hat hier nichts mehr verloren.Punkt."
128,Dänemark ist bei der Fußball-EM als erste Mannschaft ins Viertelfinale eingezogen. Das Team von Trainer Kasper Hjulmand setzte sich im Achtelfinale mit 4:0 (1:0) gegen Wales und Superstar Gareth Bale durch. In der Runde der letzten acht Mannschaften treffen die Dänen am kommenden Samstag (18 Uhr) in Baku auf die Niederlande oder auf Tschechien.
129,Im zweiten Achtelfinale der EURO 2020 trifft Italien auf Österreich! Anpfiff ist um 21 Uhr im Wembley-Stadion in London.
130,"So viele Eigentore wie dieses Jahr gab es noch nie bei einer EM. Unter den diesjährigen Pechvögeln sind neben vier Torhütern auch die Abwehrspieler Mats Hummels, Rúben Dias und Raphaël Guerreiro. Alle Eigentore der EM-Gruppenphase : https:// kurz.zdf.de/ IWnFkG/"
131,"They called it a Klassiker: England gegen Deutschland im Wembley-Stadion . Eine Begegnung der besonderen Art, auf die sich die DFB-Elf voll fokussiert vorbereitet. Wie ist Ihr Tipp für das Spiel Deutschland gegen England? https:// kurz.zdf.de/Qhw/"
132,"Tak Danmark! Herzlichen Glückwunsch, verdient gewonnen und der Traum kann weitergehen."
133,Dänemark war einfach besser. Super gespielt. Hoffe dass die ganze Mannschaft für Eriksen eine Medaille nach Hause bringt.
134,"Gratulation an Dänemark. Tolles Spiel, schöne Tore. Am meisten Respekt für eine Präsidentin die mit Stolz im Trikot der Landesfarben jubelt. 👍🏻🥰 In Deutschland bei unseren Politiker:innen  U N D E N K B A R."
135,Herzlichen Glückwunsch Danish Dynamite. Eine starke Leistung insbesondere von Dolberg und Braithwaite der letztendlich noch sein Tor machen konnte. Sympathische Fans und erfreulich auch für Eriksen. Viel Erfolg Dänemark und wohlmöglich Niederlande wird es schwer haben im Viertelfinale. 🇩🇰
136,⚽️ Die Leistung der Dänen ist lobend zu erwähnen. Enttäuschend die Waliser; sie spielten selten mieser.
137,"Herzlichen Glückwunsch, liebes Dänemark! Und so hübsche Männer 😘"
138,"Ich frage mich echt, wieso Großbritannien 3 Mannschaften ins Feld führt."
139,Super gespielt .
140,Für die Dänen freut es mich
