,comment_text,Sub1_Toxic
11,"Vielleicht so ehrlich, dass die EU der zweitgrößte Urwaldzerstörer ist, dass wir Schweinshaxen nach China liefern und Deutschland nicht mal in der Lage ist, MUNDSCHUTZ herzustellen. Mit den Grünen wird es nie mehr ein Made in Germany geben, weil wir alle Firmen ins Ausland verlagern, um den CO2-Ausstoß und die Umweltauflagen zu erfüllen. Gute Nacht Deutschland!",1
12,Naja was soll man jetzt sagen!🥴🤷‍♂️  Da wird das Virus aber schön doof gucken Donnerstag 🙄😂😂😂,1
13,"Es muss endlich Schluss sein mit der ungezügelten Einwanderung. Auf der einen Seite beklagt man hier die Wohnungsnot und auf der anderen Seite schreit man ""Wir haben Platz"". Das ist doch nicht mehr normal, was hier abgeht. Straffällige Asylbewerber werden nicht abgeschoben, Migranten, die antisemitische Demos in Deutschland veranstalten, werden nicht bestraft. Es wird seitens der Politik nur immer einen kurzen Aufschrei geben aber gehandelt wird NIE. Wo sollen denn die ganzen Wohnungen herkommen, die ganzen Arbeitsplätze? Da hört man keine Lösung, sondern sitzt es einfach aus. 2015 wollte Merkel keine unschönen Bildchen an den Grenzen und ICH will keine unschönen Bildchen in diesem Land. Wir sollen immer länger arbeiten, damit D auch weiterhin das freundliche Gesichtchen innerhalb der Welt zeigen darf. SO NICHT! Unsere Innere Sicherheit geht mehr und mehr kaputt, die Richter gewähren großzügige Bonusurteile usw. usw. Kein Wunder, dass sich gewisse Herrschaften immer mehr rausnehmen, die können ja hier eh machen, was sie wollen. EU sollte eine klare Ansage machen: ""Wir haben keinen Platz mehr, unsere Aufnahmekapazit äten sind aufgebraucht. Kommt nicht. ES REICHT!",1
14,"Die Vorwürfe sollten sich eher die Politiker, Lobbys und Medien machen die diese absolut desolate Flüchtlingspoli tk der letzten Jahre für etwas ganz besonderes verkaufen wollen! 🤬🤬",1
15,Auf keinem Fall mehr CDU schon garnicht Spahn der belügt und betrügt uns alle. Kauft sich eine Villa in Millionen Euro bestimmt nicht auf normalem Weg und uns schmeißt er alle in den Ruin aber Hauptsache er hat sich vorgedrängt beim Impfen so unfähr und korrupt,1
16,"Mein Vertrauen ging dadurch verloren, dass die Politik zwar die Gesundheit über die Freiheit stellt, aber offensichtlich nicht über den Kommerz, wie man an anhaltenden Einsparungsmaßn ahmen im Gesundheitsbere ich (Klinik- und Bettenabbau, Ausstattung der Gesundheitsämte r, Löhne von Pflegepersonal, etc.), Bildungsbereich (Ausstattung von Schulen mit Luftfiltern), etc., sowie an diversen Bereicherungssk andalen einzelner Politiker erkennen kann...",0
17,"Kanzlerkandidat ur ist doch völlig egal. Das interessiert auch kaum jemanden. Wenn das unser Top Thema in Deutschland ist, läuft ja schon wieder was gewaltig schief!",1
18,"Jemand, der keine Geldsorgen hat, kann gut reden. Wer bezahlt denn das alles? Die Steuerzahler❗Doch fasst einmal einem nackten Mann in die Tasche‼️ Alles steigt ins Unermessliche. Deutschland hat die höchsten Steuern, das höchste Renteneintritts alter, von zunehmender Altersarmut ganz zu schweigen. Seit 16 Jahren haben wir dieselbe Kanzlerin, doch was ist passiert? Bildungsmisere, Pflegenotstand. .. und und... Mit den Grünen wird es noch schlimmer...",1
19,"Um Toleranz gegenüber der LGBTQ-Community ist eine neue Debatte entfacht. Hintergrund ist ein umstrittenes Gesetz, an dem Ungarns Ministerpräside nt Orban festhält und das ein Verbot von LGBTQ-Inhalten festlegt. Wie es um die LGBTQ-Community in Deutschland steht können Sie über den Link im Artikel nachlesen: https:// kurz.zdf.de/QJX/",0
20,Millionen Deutsche warten noch auf ihre Corona-Impfung. Doch die Zahl der wöchentlichen Erstimpfungen geht seit Anfang Mai zurück. Woran liegt das und wie sind die Aussichten? Hier ein Überblick: https://kurz.zdf.de/DxxV/,0
21,Sa Ja,0
22,"Diese Grüne hört sich gerne sprechen, aber was dabei heraus kommt.... Da staunt der Laie und der Fachmann wundert sich,  ,,so hatte ich das Gefühl während dieser Verbalen und Gestik tirade .",1
23,"Der PCR Test war wichtig um Infekzionskette n zu durchbrechen. Wie sollte sonst festgestellt werden, ob man den Virus in sich trägt und so weiter gegeben wird. Nach der Studie, kann man nun daran arbeiten in wie weit ein positiver Test gerechtfertigt Menschen zb in Quarantäne zu schicken. Ebenso die direkten Kontakte. Statt sich hier zu zerfleischen sollte man eher schauen einen Weg zu finden der Schutz und Maßnahmen in Einklang bringt.Am Anfang mussten nunmal Wege gefunden werden um die Verbreitung zu unterbinden oder zu verlangsamen. Dazu war der Test wichtig und richtig. Neue Erkenntnisse können nun genutzt werden um differenzierter hinzuschauen. Hier geht es nicht drum, daß der PCR Test nichts taugt sondern nur das er nicht in der Lage ist alleine für sich zu stehen sondern man auch andere Parameter benötigt um eine Virenlast und eine Ansteckung bei positiv Getesteten zu ermitteln. Finde es schlimm wie hier versucht wird gegeneinander auszuspielen. In den man andere als Schrubbler oder Jünger bezeichnet. Den egal auf welcher Seite man steht ausbaden tun wir es alle. Und zur Info ich benutze den Account von Klaus bin aber Weiblich 🤣🤣🤣 Daher das seichte 😁",0
24,da wäre mir ja Frau Bubrowski als Kanzerin lieber...,1
25,"Unterirdische Kommentare hier. Die wenigsten haben überhaupt begriffen, wofür ""fridays for future"" steht. Die demonstrieren für die EINHALTUNG der beschlossenen(! ) Pariser Klimaziele! Kennt hier keiner das Urteil des BVerfG vom 24.3. zum Klima und damit verbunden, zur Generationenger echtigkeit? Habt ihr nicht mitbekommen, dass die Groko die Maßnahmen zur Einhaltung des 1,5° Ziels daher schon kräftig nachbessern musste? Und die wichtigste Frage: habt ihr keine Kinder? Warum wird hier eine 25-jährige, die für das RICHTIGE kämpft, so derbe beschimpft? Wacht mal auf aus eurem ""alles soll so bleiben wie es ist"" Traum.",1
26,Befürchte das wenn die Priosinierung im Mai fällt die Hausärzte erstmal alle ihre PRIVATPATIENTEN zu erst impfen zumindest heimlich zu besonderen Teminen wenn dies nicht schon jetzt bereits erfolgt,1
27,Wer sich bewusst nicht impfen lässt darf im Anschluß selbst für alles verursachten Kosten aufkommen.,0
28,"Nicht erst seit 2015 kommt nichts Gescheites mehr von der CDU. Ihr Handeln hat die Schere zwischen Arm und Reich weiter auseinander gehen lassen. Auch alle anderen Themen sind von Versagen geprägt. -Die BW eine Trümmertruppe. -Die Rentenreform verschlafen. -Die Gesundheitsrefo rm verschlafen. -Die Maut gescheitert. -Die Energiewende nicht geschafft. -Digitalisierun g verpennt. -Schulreform vergessen. -Einwanderungsp olitik eine Katastrophe für Deutschland. -Intergrationsp olitik gescheitert. Und jetzt Corona! Völliges Versagen und zusätzlich noch Schergen im Bundestag, die sich daran bereichern. Schlimmer geht es kaum. Wer dieser Partei und ihren Erfüllungsgehil fen auch nur eine Stimme gibt, muss völlig schmerzfrei sein. Mögen die kommenden Wahlen eine saftige Quittung präsentieren...",1
29,"Nein, wir sind keine Rassisten, aber ""die"" Ausländer, die Türken sollen weg. Alles klar. Echte Knalltüten aus Deutschland waren zu sehen, jahrelange DDR-Diktatur geht nicht spurlos an Menschen vorüber.",1
30,"Kann mir jemand erklären, weshalb es zur Durchsetzung eins Gesetzes Verordnungen braucht?  Meines Wissens nach ist eine Verordnung eine behördliche Anordnung mit Gesetzescharakt er, also weniger, sagen wir, mächtig.  Es wäre großartig, wenn mir dies fundiert erklärt werden könnte.",0
31,"Beim EM-Achtelfinale dürfen 45.000 Zuschauer ins Londoner Wembley-Stadion , ab dem Halbfinale sogar 60.000 – doch ist das angesichts steigender Inzidenzen in Großbritannien die richtige Entscheidung? Was sagen Sie?",0
32,Wenn ihr eure komische Sprache schon benutzt dann heißt das auch datteltäterin oder gibt es nur männliche täter,1
33,"Der Lauterbach lebt doch in seiner eigenen Welt.... Für mich ein Schwätzer der ohne diese ,, Pandemie ' immer noch ein belächelter 1b Politiker wäre...",1
34,Man sollte sich fragen ob die Pandemie einen Zentralstaat aus uns gemacht hat ??? Wissen die Landeschefs überhaupt noch was in Ihren Verfassungen steht ? Kennt man den Begriff Föderalismus ? Auch die Oppositionspart eien der Lönder scheinbar nicht sonst würde es wohl Klagen hageln... Armes Deutschland,1
35,"Alles was wir derzeit gesichert wissen, erfahren Sie in diesem Artikel: https:// kurz.zdf.de/ yVmt/",0
36,"Beurteilen Sie selbst: meine Kinder waren in diesem Jahr ziemlich genau zwei Wochen in der Schule. Das wird sich auch nicht wirklich steigern bis zu den Sommerferien. Ist das schon „im Stich“ lassen oder erst die kurze Beschreibung des Homeschoolings? Die ist so unsäglich furchtbar schlecht, dass ich heulen möchte. ",1
37,"Da die CDU und die CSU praktisch zwei Parteien sind, ist es ehrlicherweise auch ein wenig komplizierter, den Kandidaten zu finden. Aber ist eigentlich eh egal, es gibt bei der nächsten Wahl sowieso keine Partei auf die man sich freuen könnte.",0
38,"„Ein Gastwirt der mich angerufen hat“ was für ein Blödsinn er erzählt, als ob man so einfach Herrn Blume anrufen kann, wenn man ein Problem hat! Die Politiker würden noch nicht einmal eine Email beantworten. Dieses Politiker Geschwafel, wir sind so nah am Volk!",1
39,"Finde ich ganz wichtig, was du schreibst! Geht aber natürlich nicht allen Kindern so.",0
40,n.b. Kompliment für seine exzellente Initiative bzgl. Kombination von Tests und umsichtigen Öffnungen bzgl der Pandemie in diesem Frühjahr,0
41,"mir fehlt komplett die ""Solidarität"" und ich lasse mich ungern von Malle Urlaubern im Interview angrinsen - ooooch ist das schön leer hier :-( Freiheit und Verantwortung - immer für eine gute Balance geeignet. Noch schlimmer das GEJAMMER - und wer erstattet uns nun die Kosten der Quarantänezeit .....",1
42,"Was zdfheute als ""Sonnenkollekto r"" bezeichnet, ist ein Panel mit neuen hochwirksamen Solarzellen, die elektrische Energie liefern. „Ein Sonnenkollektor oder auch Solarkollektor (lateinisch sol 'Sonne' und colligere 'sammeln'), auch thermischer Solarkollektor (thermischer Sonnenkollektor ), wandelt Sonnenstrahlung in Wärmeenergie um. Die Wärme kann zur Heizung, Kühlung, zur Wasserdesinfekt ion, -entsalzung usw. verwendet werden.“ (Wikipedia) zdfheute sollte sich um bedeutend mehr naturwissenscha ftliche Kompetenz bemühen. Das würde übrigens auch einer Versachlichung der Klimabeiträge dienlich sein. Bitte nicht alles nachplappern - auch dann nicht, wenn die Quelle Reuters heißt.",0
43,"Wie was bezahlt werden kann? Relativ einfach: umschichten. Beispiele Landwirtschaft: hier könnte die Lösung sein, die Subventionspolitik massiv zu verändern - weg von der Masse und hin zur Qualität. Das Fleisch aus dem Discounter ist deshalb so günstig, weil extrem viel Geld in diesen Sektor fließt. Deutschland wurde verklagt auf 1 Mio Strafe pro Tag wegen Nichteinhaltung der Nitratwerte. Solche zahlen müssen eigentlich auf sämtliche Landwirtschaftsprodukte umgelegt werden und siehe da, nachhaltige Produktion wäre plötzlich günstigter als Massenproduktion.",0
44,Sofort die Regenbogen raus holen. 🤣🤣🤣🤣 die Plastikfähnchen.,1
45,Kann das mal jemand abschalten... Inzwischen ist diese Panikmache für klar denkende echt unerträglich.,1
46,"Bemerkenswert ist, dass man mit dieser Entscheidung bis NACH den Landtagswahlen gewartet hat. Ein Covidiot, wer böses denkt...",1
47,"Und jetzt sollen wir beruhigt sein? Also wenn ich dem Finanzamt ein paar Kröten klaue oder hinterziehe, dann geht aber die Post ab... Und Olearius, offensichtlich ein höchst krimineller der zur Eltite zählt? Straffrei - oder wie?!",1
48,"Meine Mutter ging noch lange arbeiten, nicht weil sie musste, sondern wollte. So geht es bestimmt vielen. Ich möchte natürlich nichts kleinreden, viele müssen auch leider.",0
49,😂😂😂😂😂😂😂😂 dann mal los!! Freiwillige vor!,1
50,mindestens CDU CSU und FDP Abgeordnete sollten endlich z.B. das Buch der Wirtschaftsnobe lpreis-Trägerin 2019 E. Duflo und des ebenfalls mit dem Wirtschaftsnobe lpreis ausgezeichneten Kollegen A. Banerjee lesen : Good Economy in hard Times (auch in dt. Übers. erschienen),0
51,"""Ich finde aber, dass wir aufgefordert sind, nicht nur als DFB, sondern insgesamt in der Gesellschaft, einerseits das zu akzeptieren, aber andererseits unsere Möglichkeiten zu nutzen, trotzdem unsere Haltung sichtbar zu machen. Nicht nur über die Kapitänsbinde von Manuel Neuer, sondern auch über Regenbogenfahnen, über Kapitänsbinden, die ja jeder Zuschauer tragen kann oder andere Symbolik"", so Martina Voss-Tecklenburg, Bundestrainerin der deutschen Frauenfußballnationalmanschaft.",0
52,Den muss ich nicht haben.,0
53,Nur gut Das FB so viel Sofa und Sessel Fachleute hat .,0
54,Die Zerstörung des Regenwaldes schreitet trotz der Corona-Pandemie weiter voran. Im vergangenen Jahr ist insgesamt eine Waldfläche in der Größe der Niederlande vernichtet worden. Mehr zu dem Bericht der Online-Plattform Global Forest Watch lesen Sie hier: https://kurz.zdf.de/WSS/,0
55,"Gähn..🥱 Gibt es dazu wieder so „hoch spannende und kompetente“ Gäste wie zuletzt unsere Bundesbildungsm inisterin, die ungestraft einen Beweis nach dem anderen für ihre allumfassende Inkompetenz und ihr fast schon kriminelles Desinteresse liefern durfte, ohne dass der sonst deutlich engagiertere Moderator auch nur im entferntesten kritisch nachfragen zu müssen meinte?!🤦🏻‍♂️",1
56,"Herr Kretschmann, die AMPEL steht auf GRÜN, freie Fahrt und auf zu neuen Ufern! 🍀",1
57,"Wer die Wahrheit verdreht und Verbrechen aus der dunklen Vergangenheit zwischen 1939 - 1945 verharmlost und Medienvertreter die es aufdecken, öffentlich anfeindet, für solche sollte es keine milden Strafen geben. Urheberrecht hin und Urheberrecht her. Leider beruht dieses Urteil nur auf das Urheberrecht.",0
58,"""der Beitrag der Pestizide zum Insektensterben ist noch völlig ungeklärt."" Echt jetzt? Dafür bedarf es nur des halbwegs gesunden Menschenverstan ds und keiner wissenschaftlic hen Studie. 🤦‍♂️",1
59,"ich gehöre zur nachkriegsgener ation.kann einfach nicht verstehen,wie man so ein grosses theater um die einschränkungen macht.grundrech te sind eine feine sache,aber wenn das virus mich erwischt ,ist es vorbei.wir sind einfach zu verweichlicht.l ieben das angenehme leben,und den täglichen komfort.einfach mal klappe halten und durch.es kommen auch wieder bessere zeiten.keine zeit für jammerlappen",1
60,"Na da haben die sich doch verdient😂😂😂😂😂😂alles geht den Bach runter und die ruhen sich auf ihren Lorbeeren aus und das nicht nur in der Sommerpause. Gut das viele nicht wiederkommen werden, aber traurig das die dann genug Pension erhalten für das was geleistet wurde🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮",1
61,"Warum kann man bis zum ""Impfschutz"" das System aus Tübingen nicht bundesweit übernehmen? Finde das dort sehr sinnvoll gelöst.",0
62,"Bei einem Unwetter mit einem Tornado sind im Südosten Tschechiens mehrere Menschen ums Leben gekommen und verletzt worden. Die genaue Zahl der Todesopfer war nach Angaben des Rettungsdienstes zunächst nicht bekannt. Das Krankenhaus in Hodonin meldete rund 200 Verletzte. In mehreren Dörfern seien Dächer abgedeckt, Fensterscheiben zerstört, Bäume umgestürzt und Autos umhergeschleudert worden, berichtete der Fernsehsender CT. Die Situation dort sei wie in einem Krieg, sagte Gesundheitsminister Adam Vojtech im Fernsehen. Mehrere Busse seien bei dem Unwetter in Südmähren nahe der Grenze zu Österreich umgestürzt, berichtete der Fernsehsender CT.",0
63,"Piorisierung, Piorisierung, Piorisierung... weiß die Frau, wovon sie redet?!? 😄",1
64,"Noch nichts für die Gesellschaft geleistet. Keinen Berufsabschluss und 20 Semester ohne Abschluss studiert und nun im Bundestag abschmarotzen. Und so einer will den Bürgern sagen, wie sie zu leben haben. Wie schäbig. Als 15%Partei sich so zu äußern so überheblich aufzutreten ist peinlich.",1
65,Warum wird sie nicht zur Nato und unserer Anbindung an den Westen gefragt.,0
66,"Hilfe, so langsam gehen den Verschwörunksth eoetikern die Verschwörungsth eorien aus. Hatten sie vielleicht doch recht ???",1
67,Verwöhnte Göre mehr ist die nicht 🤮🤮🤮,1
68,"Die EU Mitgliedschaft von Ungarn sollte so lange völlig ruhen, bis das Volk diesen Despoten zum Teufel jagt, also entmachtet!",1
69,"Ganztagsbetreuu ng ja, für die Kinder wo die Eltern arbeiten oder einer allgemein nützlichen Tätigkeit nachgehen. Das macht Sinn, aber bitte nicht für Leute die ein Abstellgleis für ihre Kinder brauchen, obwohl sie daheim sind.",0
70,"Ich bin froh, dass keine wirklich kritischen Gäste eingeladen werden ... es könnte ja sonst die Zuschauer verunsichern ... schließlich soll niemand zweifeln ! Danke",0
71,"Ja mag sein, dass der Polizist aus subjektiver Meinung einiger (auch meiner) zu einer höheren oder gar lebenslangen Strafe hätte verurteilt werden können/sollen/ müssen. Aber angesichts der jeweiligen Forderung von Verteidigung und Staatsanwaltsch aft ist das ein zufriedenstelle ndes Urteil.",0
72,"Einen Beitrag, der die Stimmung in dem südamerikanischen Land und die Unzufriedenheit der Menschen zeigt, sehen Sie hier: https://kurz.zdf.de/bY0W/",0
73,Glückwunsch zum 1000 Auftritt im Staatsfernsehen !,0
74,"Genau das ist das Problem,nur Verbote ohne jegliche Perspektive...",0
75,"Typsich HART aber Fair ! Wieder nur negative Schlagzeilen , und immer nur die Kanzlerin kritisieren !",1
76,"🤦🏼‍♀️🤦🏼‍♀️🤦🏼‍♀️ Bagatellfehler die an den Pranger kommen 🤷🏼‍♀️🤦🏼‍♀️🤷🏼‍♀️ nur weil die Erfahrung der Altparteien fehlt, welche ihre Leichen  ordentlich im Keller verstecken. Falls dann aber doch so ein bisschen Leiche auftaucht, wird die sofort wieder verdeckt. Das Deutsche Volk ist doch soooooooo gut im Vergessen 😂🤣😂 Wer von euch ohne Fehler, werfe den ersten Stein 😱😉😉😘 Ich sehe auch manches der Grünen-Politik als nicht angepasst an unsere Situation in Deutschland, aber jetzt dieses menschlich ""Runtermachen"", anstatt nach politischen Sachverhalten zu schauen ist von Journalisten vor einer Wahl nicht der richtige Weg. Bitte, bitte ihr öffentlich Rechtliche, ich möchte im Sep. richtig wählen und deshalb will ich für ""meine Gebühren"" auch richtig informiert werden. Keine ""Meinungsmache"" sondern richtig echten, ehrlichen Journalismus. Informationen über Partei-Programme und Partei-Ziele usw..",1
77,Mit Schwarz/Gruen geht's weiter.,1
78,"Innerhalb der Pandemie gezeigt was können, nämlich nichts außer rumgurken. Völlig überfordert und dann noch das Impfchaos! Bei mir sind sie erstmal raus. Und Herr Laschet redet wie das Fähnchen sich dreht, er hat keine eigene Meinung. Und jetzt vor den Wahlen brauchen sie auch nichts mehr schönreden. Die haben Deutschland zum Witzland gemacht!",1
79,Was soll der Mist mit den Testwahn das steigert die Insidenzzahlen man braucht nur testen wenn Sympthome dann erst ist man nämlich krank.,1
80,Das große Pflaumentreffen bei Hart aber fair.,0
81,Nocovid ist totaler Blödsinn 👎,1
82,"diese dominante Frau läßt gar keine anderen Meinungen zu. Soll die Kirche auch ihr Vermögen einbringen und nicht auf Kosten der Steuerzahler dafür aufkommen lassen. Die Kirche schafft Anreize, dass immer mehr Migranten nach Europa kommen.",1
83,Der Lasche Laschet und die Ahnungslose.... . Super Auswahl!?,1
84,Wußte bestimmt auch zu viel,0
85,Endlich mal ein Mann mit Format und einer blütenreinen Weste!🤣🤣🤣,1
86,Der Herr Blume ist wohl Freitags auch beim hüpfen? % rechnen nicht seine Stärke 😂😂😂,1
87,Herzlich willkommen zu unserem ZDFheute live! Thema ist heute die Gefahr durch die Delta-Variante des Corona-Virus – mit besonderem Blick auf die bevorstehenden EM-Spiele. In den Blick nehmen wir insbesondere das Achtelfinale mit deutscher Beteiligung im Londoner Wembley-Stadion am kommenden Dienstag.  Zu dem Thema sprechen wir heute mit dem Virologen Dr. Martin Stürmer sowie mit unserer ZDF-Studioleite rin Diana Zimmermann in London. Gerne können Sie hier Ihre Fragen stellen und mitdiskutieren. Wir freuen uns auf eine sachliche und konstruktive Debatte!,0
88,"Mein Gott was ein Gewürge 🙁 Sane spielt sowas von grottenschlecht , ab nach Hause mit dem.",1
89,Angela Merkel sprach während ihrer Regierungserklärung über den Fortschritt in der Pandemiebekämpfung und betonte die europaweit rückgängigen Inzidenz-Werte: https://kurz.zdf.de/sax4/,0
90,Auch für die Impfung gibt es keine haltbare Begründung.,0
91,"Liebe Nutzerinnen und Nutzer, wir freuen uns über Beteiligung an dieser Diskussion. Bitte bleiben Sie dabei immer fair und respektvoll untereinander und auch gegenüber unseren Gästen – danke.",0
92,"Laut Robert Koch-Institut haben derzeit rund 51,2 Prozent der Bevölkerung zumindest eine Impfung erhalten. Montgomery vertrat die Ansicht, dass eine weitgehende Durchimpfung der erwachsenen Bevölkerung notwendig sei: https:// kurz.zdf.de/Dvq/",0
93,Leiterin vom impzentrum die wird nur befürworten ist ja klaro fette coole machen hier wird einfach über uns entschieden,1
94,"das zeigt wieder mal deutlich, wie wichtig guter und unabhängiger journalismus ist. danke!! dieses undifferenziert e gelaber der sogenannten ""querdenker"" zu mainstream-medi en macht mich wütend, denn sie sägen an einem der wichtigsten pfeiler der demokratie. ich bin so dankbar, dass wir so gute journalist*inne n haben. sie verdienen den schutz aller demokratisch denkenden menschen hier und überall auf der welt.",1
95,"Früher konnte mit einem Einkommen aus Lohnarbeit eine Familie mit zwei Kindern ernährt werden, ein Auto gekauft und ein bescheidener Camping-Urlaub bezahlt werden. Und ein Eigenheim finanzierte sich durch die steigenden Immoblienpreise und auch mit den mit dem Lebensalter steigenden Löhne und mit der Inflation.  Teurer sind vor allem auch die Gebühren und Wohnnebenkosten im Verhältnis zum Lohn geworden: Strom/Wasser/ Abwasser/Müll/ Heizung/Ausweis/ Studiengebühren/ Parkgebühren/ Eintrittspreise/ öffentlich-rech tliches Fernsehen/ private Streamingdienst e/Handyvertrag/ Strafzettel/ öffentlicher Nahverkehr/ Miete/ Betriebskosten Auto/ Rezeptgebühren/ Studiengebühren, bzw. Semestergebühre n/ ...Das alles war früher im Verhältnis zum Einkommen wesentlich preisgünstiger, bzw. das gab es z.T. überhaupt nicht.  Und erst mit dem Rentenraub Ende des letzten Jahrhunderts und Anfang dieses konnte mit einem Einkommen keine Altersrente mehr auch für die mitversicherte Ehefrauen erworben werden. Das was früher die Ehefrauen in einem Teilzeitjob mitverdient haben, war für Extras, für den Urlaub mit Flugreise vllt..  Am schlimmsten schlagen heute jedoch die Mietkistennzu Buche, bzw. die ins unermessliche gekletterten Immobilienpreis e.",0
96,"Es ist genug Blödsinn erzählt worden..... Genauso wie im Herbst und Winter mit der Knappheit der Intensivbetten, alles erfunden und erlogen....... genauso wie jetzt mit eurer Delta Variante...... wenn ihr den Menschen nicht mal irgendwas gönnt! Lauterbachs Massensterben ist nicht eingetreten, was jeder vorher wusste, und ich behaupte er selbst ebenfalls. Wer jetzt wieder ankommt und weist auf die nichts aussagen dann zahlen hin, fischt auch nur im Trüben. Mann der Mensch hat ein Immunsystem und das funktioniert auch ohne diese Impfung",1
97,"Na was kommt? Umbau der Gesellschaft oder Umverteilung, Kommunismus oder ähnliche Vorschläge?",0
98,"Ha ha ha, dazu braucht es intelligente Politiker und keine Selbstdarstelle r. 😢😢😢",1
99,"Frau Anke Richter- Scheer, fand die richtigen Worte, weil sie an der Basis arbeitet und die Problematik kennt. ",0
100,"Also was nach 10 Monaten langsam nervt, sind Journalisten und Wirtschaftswiss enschaftler, die in einer kaum erträglichen Besserwisserman ier genau wissen, wie man ein Virus NICHT bekämpft, aber zur Lösung des Problems Nullkommanull beitragen können.",1
101,"Ich finde es ganz schlimm, das man versucht in dieser Sendung Menschen ein schlechtes Gewissen einzureden, nur weil sie skeptisch sind gegen bestimmte Impfstoffe und diese Skepsis nicht ganz unberechtigt ist. Eine unsympathische Runde heute . So stößt man Menschen vor den Kopf aber erreicht sie nicht. Alles langsam nur noch zum 🤮",1
102,Wie ich doch die Klugscheißer Oppositionen liebe. Da brauch ich keinen FDP Generalsekretär um zu wissen was schief gelaufen ist. Wichtig jetzt ist Druck bei der EU für Impfstoff und wenn nötig selbst kaufen ohne EU !!!!!!! Dann jetzt schon ordentliche Pandemie Pläne für die Zukunft erstellen ect pp,1
103,Wann geht der wieder nach Hause?,0
104,"Schade das die CDU nicht auf Mertz gesetzt hat, da hat man vielleicht jemanden der voran geht und nicht nur wie Herr Laschet ein Abklatsch von Merkel ist. Das Land braucht Stabilität und Sicherheit in der Krise.",1
105,Das war es für heute. Vielen Dank für Ihre Beteiligung und bis zum nächsten Mal!,0
106,"Liebe Nutzer*innen, unsere Gäste haben in der gestrigen Sendung über die #KFrage diskutiert. Was denken Sie zu diesem Thema? Wir freuen uns auf Ihre Meinung!",0
107,"Die Viren lauern immer , täglich, stündlich, alles lebensgefährlic h, absagen!!!!!",1
108,"Gibt es grade nix wichtigeres als Laschet und Söder eine Pkattform zur Wahl zum Bundeskanzler zu geben? Millionen kämpfen um ihre Existenzen,daru m sollte man sich jetzt nun vordringlich kümmern,da der angekündigte Lockdown und die Gesetzesänderun g ausser Frust bei den Bürgern nichts bringen wird !!!🤔 #hartaberfair",1
109,Alle Welt lauscht der Klimaprophetin Langstrecken-Li sa und hängt an ihren Worten - LEUTE GEHT´S NOCH ??? DAS IST DOCH ALLES PILLEPALLE !!!,1
