,Unnamed: 0,comment_text,Sub1_Toxic
1208,1842,"""Selbst wenn es einigen Geflüchteten gelingen sollte, hier Lesen und Schreiben zu lernen (was ich aber angesichts der Tatsache, dass es schon für analphabetische Muttersprachler schwer ist, für sehr unwahrscheinlich halte),"" Ich habe mich schon mit einigen Flüchtlingen unterhalten, die nicht nur unsere Sprache sprechen, sondern wesentlich gebildeter sind als ich und du.",0
1623,2478,Deutschland zahlt so viel Geld dorthin - Es müssen ja einige Länder die Kosten für das große Parlament zahlen und das ist teuer. Die bekommen nicht einmal die Sommerzeit geregelt - Das geht schon viele Jahre - Dabei müssten die nur sagen - Kommendes Jahr bleibt die Uhrzeit wie sie ist - und für solchen Unsinn werden die bezahlt oder ob eine Gurke krumm oder gerade sein darf,0
673,1010,"@USER "" Islamisierung,"" Das ist das schwachsinnigste Argument der letzen Jahre, was ich gehört habe. Wie oft wurdest du jetzt schon dazu gezwungen, zu einem islamischen Gottesdienst zu gehen?",0
736,1105,"Nordkreuz, Uniter, NSU 2.0 etc. wohl eher nicht.",0
567,856,"2018 23 Milliarden für ,, Flüchtlinge´´ Noch Fragen?",0
2136,1286,"@USER das Grundproblem bleibt Maßlosigkeit, Gier und fehlender Anstand. Dazu kann niemand gezwungen werden, stimmt, aber die Konsequenzen werden verheerend sein, wenn sich immer mehr Menschen abwenden und die Wut auf Eigentümer/Vermieter irgendwann in Gewalt umschlägt, das kann niemand wollen!!!",1
2670,219,"ja genau, menschen die sich in unseren sozialsystemen wohlfühlen und terroristen lieb haben.",1
2858,767,@USER -- h ARD !! 🤣,1
2145,1308,"@USER NRW hat 2018 über eine Milliarde Euro im Rahmen des Asylbewerber-Leistungsgesetzes bezahlt. (Ohne H4, was nach dem Asylverfahren eintritt)..NRW hat kein Geld für Personal in den Verwaltungen..NRW hat kein Geld für sozialen Wohnungsbau..NRW hat kein Geld, um marode Schwimmbäder zu sanieren. NRW hat kein Geld, baufällige Schulen zu sanieren..NRW HAT KEIN GELD.",1
1771,214,@MEDIUM : #VERSCHONT und mit dem #DUMMGESCHWÄTZ 🙈 dieser naiven und primitiven #BAHNHOFSKLATSCHERIN ! ⚠ Für sowas auch noch #ZWANGS - GEZ : #SCHÄMT euch ! ⚠,1
2807,606,"@USER, hier die Antwort: 💙💙💙💙💙💙💙💙💙💙💙",1
1840,422,Sollten die Grünen mal regieren kommt es zur Katastrophe.,1
530,806,In Tübingen haben sie 100 Millionen gebaut aber es dürfen nur Flüchtlinge einziehen die nächsten 10 Jahre... wo ist der Fehler Geld ist da ... nur nicht für die Bürger 😡 mit grünem Bürgermeister super 👍,0
1406,2156,http://www.3sat.de/page/?source=%2Fboerse%2Fmagazin%2F169907%2Findex.html&fbclid=IwAR2CRh-vho5MFhtVWs7n66tA9FIhy3MH5mqXNarZOwM_w7LNy2ifwHs1Mks,0
384,591,"sicher ein Nikotinkaugummi, es gibt auch anderes was man kaut...",0
2249,1604,"Demokratie erlaubt auch Meinungen, die nicht gefallen. Ich habe die Meinung, dass die Grenzen um Europa und bis Dato um Deutschland kontrolliert und geschützt werden. Berenzung der Zuwanderung hauptsächlich aus muslimischen Staaten. Keine Schuldenvergemeinschaftung. Keine Gleichmacherei. Gaga Gender und Ököwahn ist mir ein Graus. Deshalb wähle ich die AfD. Kein Superstaat-Europa, sondern ein Europa der Vaterländer und Patrioten.",1
867,1317,@USER Das ist doch ein Witz. Wie bei unseren Politiker von nichts ne Ahnung aber sagen was richtig und falsch ist. Leider gibt's aber noch zuviele die es nicht durchschauen,0
89,133,@USER oh,0
2258,1624,"Mehmet Daimagüler soll genau was mit Erdogan zu tun haben? Können Sie das mal erläutern, oder weshalb verbreiten Sie solche Lügen?",1
2203,1465,"Sehe ich auch so und das Team macht dich die TASCHEN voll, von unser Geld GEZ......",1
1003,1533,@USER weil der Staat sie langsam zur Ader lässt da Strom mehr da Milch mehr da die Fahrkarte mehr Miete mehr,0
1553,2375,"@USER, 1. Sind die Bruttokosten bei 20 Milliarden Euro Pro 1 Million Flüchtlinge. 2. Unsere 10! in Worten Zehn rechsten Menschen haben ein Vermögen von ca. 750 Milliarden Euro. bei einer Vermögenssteuer von 5% spült es 37,5 Milliarden Euro in die Kasse. Damit können wir locker 2 Millionen Flüchtlinge versorgen Wie ich schon sagte, ich spreche von Brutto. Die positiven Auswirkungen auf unsere Wirtschaft lasse ich mal außen vor. Mit einer ensprechenden Erbschaftssteuer können wir locker noch mal 2 Millionen Flüchtlinge versorgen Und KEIN normal arbeiterder Mensch muss auch nur einen Cent dazu bezahlen",0
2682,246,"Und du bist ""Biodeutsch"", oder? Im Übrigen ist's so, dass der Mensch an sich, egal woher auf der Welt zu 99,x genetisch identisch ist. Das bisschen nach dem Koma steht dann lediglich für die Haarfarbe, Hautfarbe, Augenfarbe und das Geschlecht. Also willst du dich weiterhin in die Reihe der Dumpfbacken einreihen, oder doch lieber nochmal nachdenken?",1
1337,2056,@USER Das bezweifle ich stark,0
894,1358,@USER Blödsinn,0
2472,2224,"@USER Den Spaß kenne ich aus dem Sozialkaufhaus, reserviert für die Ausländerbehörde.",1
1643,2508,Wenn der Staat seinen Aufgaben nachkommen und Gesetze umsetzen würde gäbe es keinen Populismus.,0
711,1071,@USER Wann gehst Du Gastarbeiterin eigentlich wieder zurück in Deine Heimat?,0
1667,2543,Auf deutschen Comedibühnen 😬😑🙄😀,0
74,108,@USER naklar du fliegst nicht in die Heimat 🤣🤣🤣🤣🤣,0
2353,1896,"Kommen jetzt wieder die ersten Elektroauto Gegner! 😜 Wobei Geld, sollten sie dafür nicht bekommen! Der Gewinn vom letzen Jahr, war doch hoch genug! Und wer betrügerische Machenschaften verfolgt, gehört eigentlich in den Knast! 🤷",1
2572,2535,Was ist das für ein schachsinniger Spruch...? 🙄,1
64,96,"@MEDIUM das artet dann wieder als Gerichtsverfahren aus , Wo die AfD komplett nieder gemacht wird.",0
765,1146,Was für eine lächerliche Sendung heute...,0
2081,1149,Und SCHON wieder eine enorm einseitige Gästeauswahl. Es nervt! Wollt ihr keine echte Debatte?,1
404,622,@USER sorry falsch ausgedrückt!,0
879,1332,die Fortbewegungssysteme der Zukunft sind noch nicht da auch das E-Auto ist es nicht..,0
1916,621,"Ja wir warten in Österreich schon auf Deutsche Touristen hinter der Grenze,..",1
65,97,"Ich möchte kein Gesetz, dass eine Quote von Frauen in Führungspositionen festlegt. Auch als Frau sollte man nur dann eine Führungsposition anstreben, wenn die dazugehörigen Kernkompetenzen vorhanden sind. Eine typische klassische Fehlbesetzung ist zum Beispiel unsere Verteidigungsministerin. Sorry das ich das sage, doch Sie wäre als Familienministerin besser. Allerdings wäre es wünschenswert das Mann und Frau im Berufsleben gleichgestellt werden, wenn beide die gleichen Voraussetzungen bzw. Qualifikation vorweisen können.",0
1231,1880,"Ich bin kein Anhänger der Linken, nur die Frau hat nicht vom normalen Vermieter gesprochen, sondern von den Grossinvestoren.",0
1673,2551,@USER ah ha wie kommen Sie da drauf - hätte man Schäuble zu seinen 100.000 befragen sollen oder Fischer zu seinen Steinewürfen oder warum die Waffe in seinem Auto gefunden wurde oder Roth oder oder oder,0
2929,998,"@USER-- Wir wollen mit Künert SPD und den LINKEN eine bessere Republik aufbauen - da ist Guido REIL bei ""hard aber fair"" eine FEHLBESERTZUNG !",1
115,179,@USER Das ist für mich ein Problem,0
2167,1369,@MEDIUM ja die Wahrheit stinkt euch dann doch manchmal stimmts? Eine Schande ist das,1
392,604,Niemals mehr eine grüne Regierung wir hatten schon mal grün rot und das war eine einzige Katastrophe.,0
699,1050,"blut spenden ist ja genauso sinnlos, wenn man es international vermarktet. dauernd wird geklagt: "" wir haben nicht genug blut, geh spenden"" - es hat sich ausgespendet. mein vater gab bestimmt 100 l im spenderleben ab und hat man es ihm je gedankt?",0
1489,2283,@USER Das wird leider nie passieren. Der Type kann sich mal exzellente Pflege leisten,0
3282,1979,"Gegen Dummheit hilft, Bildung, mehr, effizienter!",1
405,623,Dieser Hass und diese Hetze ist entstanden weil sich der Staat und die Presse gegen sein Volk gewendet hat. Jetzt geht der Staat langsam aber sicher gegen Polizei und Armee vor... überall Nazis!?!? Die Kinder werden zum Ungehorsam gegen alles erzogen. Schulpflicht gibt es zb nicht mehr. Was entsteht da? Demokratie? Sicher nicht!,0
486,741,Sehr gut die Diskursstrategie der Neuen Rechten und ihren rechten Gramscismus auf den Punkt gebracht.,0
1462,2243,"Gilt das etwa auch für die Polizisten von Uniter, NSU 2.0, Nordkreuz oder der Münchener Whatsappgruppe?",0
182,276,"@USER Risikofreundlich ,spekulativ und Saugefährlich",0
2698,318,"Ich [f]rage [m]al alle Griechen hier in der Runde:[ ][w]elches Land ist ihre Heimat? Türkei oder Deutschland?[ ]Und bitte keine Antwort [wie] ""beides"" [oder] sonst so ein Geschleime[.] Sprache ist bei der Integration enorm wichtig. Salami allerleikum.",1
1093,1662,***Eilmeldung*** Thomas Gottschalk lässt sich scheiden!,0
198,296,"@USER Lustig. Ich beziehe mich damit nicht, wie Sie denken, auf diese Frau. Sondern auf das Thema der Sendung. Heimat. Einfach mal einen Artikel lesen, statt im Reflex zu reagieren 👍 😊 Insofern sind Sie vielleicht stereotyper als ich. Ich habe mir über eine Herkunft der zitierten Person keine Gedanken gemacht. Sondern zu dem, was sie sagt",0
2635,126,die Ignoranz der anderen!!,1
1,2,wird in Österreich gefördert aber noch zu teuer die deutschen oder Europäer es müssten 20000 Euro Einstiegsmodelle sein.,0
2657,174,"@USER soso, der Mond hatte eine Atmosphäre, hilfe! Wer weckt mich....",1
3161,1652,"Eine ernsthafte Diskussion ist doch völlig überflüssig. Entweder wird alles abgeschaltet oder abgeschafft, was der Grünen Fraktion nicht beliebt, oder es wird nicht ausreichend gehandelt. Das ist die Mentalität der neuen Trendlemminge aus dem Sektor Klimaschutz.",1
67,100,Warum wurde die Polizistin nicht gefragt weshalb sie nicht mit Uniform umsonst fährt. Wohl Angst vor der Antwort.,0
1278,1959,"Ja, viele Migranten fühlen sich diesem Land eindeutig verbundener als viele „Eingeborenen“ - vielleicht weil angeborenes nicht so selbstverständlich ist? Oder weil ihre Vorfahren zur Zeit Hitlers diesen nicht gewählt haben, sie also diese Schuldgefühle nicht haben?",0
1902,581,Keine weiteren Fragen...,1
313,478,"""Halbes Wissen führt von Gott weg – ganzes Wissen führt zu Gott hin."" — Kurt Schwalbe deutscher Physiker",0
3342,2146,Was wollen Sie einem Politikwissenschaftler wie mir eigentlich über Demokratie erzählen? Benennen Sie mir doch mal den Wesenskern einer modernen Demokratie. Bekommen Sie das hin?,1
2125,1253,AFD ....Die EINZIGE CHANCE die WIR noch Haben !!!!! sonst bin ich weg . Denkt doch mal nach . da ist kein Rassismus drin sondern NUR Mathematik. Wir werden das selbe Schicksal erleiden wie die Türkei oder Ägypten oder die anderen 54 Länder der Welt. Was denkt Ihr denn wie die insgesamt 56 Länder der Welt gefallen sind.,1
2489,2269,Wie kann man diese Kabarettisten einladen wenn es um Politik geht - oh man 🙈🙈,1
2027,988,"@USER Klar soll die Jugend mitreden. Aber nicht so altklug, als wären sie schon 40 Jahre alt und wüßten genau, was in den Jahren, als sie noch nicht geboren waren, falsch gelaufen ist. Außerdem hasse ich diese Überheblichkeit von vielen, dass sie alles besser wüßten. Jedenfalls hat mich diese Dame gestern von gar nichts überzeugt. Und ihren Spruch von den alten weißen Männern finde ich diskriminierend.",1
1838,412,Bei dieser Frau gibt's nur eines: STEUERN - BEVORMUNDUNG - STRAFEN - FAKE - POPULISMUS - KLIMA … und in Hamburg gibt's nun „grüne“ Abgeordnete in salafistische Organisationen was zur Spaltung der Partei führte. Extremistische Tendenzen bei den Grünen scheinen aber im ÖR nicht einen Artikel wert zu sein.,1
2693,303,Das AKK hat es gerade zugegeben das alles zensiert 🤬 wird. Und ich bin als Jungwähler auch auf die Ära Schröder reingefallen. Wenn die Preise jetzt noch steigen werden dann werden auch die Grünenflophis aufwachen. Aber es zeigt mir wie dumm und beeinflussbar die Deutschen sind.,1
3010,1228,@USER - Waren Sie freitags auch auf Demos oder woher kommen Ihre Rechtschreibkenntnisse?,1
970,1481,"Ich wohne in Braunschweig und habe die Wohnung von einer Privatperson gemietet. Die Miete ist im Gegensatz zu den meisten anderen Wohnungen in der Größe relativ gering. Die Wohnungen der Großkonzerne wie ""Deutsche wohnen"" oder ""Vonovia"" sind sind da schon viel teurer und diese Firmen machen Millardengewinne jährlich, während die Privatpersonen ihre Rente, oder ihr Einkommen zum Großteil aufbessern. Natürlich müssen mehr Wohnungen gebaut werden, die Studenten finden nicht mal mehr nen WG Zimmer, kleinere Familien haben große Probleme, sofern nicht ein Familienmitglied beim großen Automobilhersteller aus Wolfsburg arbeitet. Ich habe ja keine Ahnung von der Materie, aber ich verstehe nicht, warum die Mieten immer weiter steigen dürfen, obwohl die Gewinne immer mehr werden. Freier Markt hört sich ja toll an, aber die Politik muss das Land ja managen und sobald etwas ungerecht bzw abnormal wird und wir darunter leiden, MUSS die Politik doch handeln, dafür ist die Politik ja da und der Irrglaube die Mieten würden sinken, nur weil man mehr Wohnungen baut, ist doch ein Irrglaube. Unter den Änderungen dürfen private Vermieter nicht leiden.",0
2622,76,"@USER wenn das Gesetz erlassen wird, sich die Pulsadern zu öffnen, sind Sie wohl auch dabei. Hilfe. De Leut schrein ""Meinungsfreiheit "" - aber wenn man diese Freiheit auslebt, kommen die Rechthaber und kloppen drauf??Sie sind bestimmt Grundschullehrerin... dat dät do jut basse. (schreiben wie hören)...",1
1195,1818,https://www.welt.de/wirtschaft/article178949074/Illegale-Praktiken-Kliniken-zahlten-verbotene-Provisionen-fuer-auslaendische-Patienten.html,0
391,603,Ohne Verschwörungswahn geht im völkischen Milieu auch wirklich gar nichts mehr.,0
2153,1334,@USER Bullshit,1
467,712,Ziemlich daneben wenn man die Wohnungen enteignet wer soll sie verwalten der Staat der Berliner Senat dann dauert jede Reparatur solange wie der BER ...Doll das sowas in der Politik ist,0
314,479,@MEDIUM Sie sind doch nicht ernsthaft der Ansicht das es keinen AfD Politiker gibt der sich da nicht auskennt? Es gibt sogar eine Seite der AfD die dieses Thema aufgreift. https://afdkompakt.de/tag/mieten/. Schade das auch @MEDIUM sich dem Mainstream unterordnet und die Wut der GEZ Zahler steigert. So schadet man der Demokratie in diesem Staat.,0
1484,2277,"@USER Peinlich finde ich Ihren Kommentar. Statt so einen nichtssagenden Kommentar als Frau zu schreiben, bringen Sie doch einfach mal ein fundiertes Argument.",0
2468,2215,"90% der Deutschen sind im herzen rechtsradikal und wünschen sich wieder einen starken führer wie damals ... deswegen sind sie neidisch auf die türken wegen Ihren führer ! Die restlichen 10% weltoffenen Deutschen kehren Deutschland den rücken zu, die letzte Hoffnung für dieses volk die leider gottes nichts mehr mit diesen Menschen hier zu tun haben will . Deutschland ist verloren",1
2437,2119,"Diese Sendung ist wiederlich, 4 gegen 1 einfach nur furchtbar die grünen sind pädophile da sagt niemand was und es wird immer noch nicht begriffen, das sie zu stark ist",1
3361,2208,"Und wissen Sie, manche Menschen schaffen einfach nur deshalb viel Unheil, weil sie sich nicht umfassend INFORMIEREN! Darf man das nicht verurteilen? Manche möchten auch die Wahrheit gar nicht wissen, weil es - wie im Falle derer, die gerne Spenderorgane annehmen wollen, bedeuten würde, dass sie verzichten und selbst sterben müssten. Und das ist unangenehm! Daher … Die Frage ist, was ich nun bewerten darf und was NICHT!",1
2233,1545,"Und egal welche Talkshow Du einschaltest, diese Tussi ohne Abschluß glotzt immer aus der Röhre und verbreitet ihren Mist.",1
2284,1708,"Große Enttäuschung nach der Europawahl. Vertrauen der Wähler wird ganz einfach missbraucht. Der Rat des EU Parlaments hebelt ganz einfach die das System für die Spitzenkandidaten aus und jongliert Ursula von der Leyen auf den Posten. Das ist Betrug am Wählerwillen denn sie hat auf keinem Wahlzettel gestanden und hat sich auch niemals um diesen Posten beworben. Hier merkt man doch ganz deutlich, dass es nicht um die Menschen bzw. um die Wähler geht - es geht ganz allein um Posten und Macht - was die Wähler denken ist denen völlig egal und die unbeliebteste Ministerin ist Merkel los - falls sie gewählt wird.",1
1625,2481,"Für mich ist Heimat dort, wo ich zuhause bin, fertig. Wer das an irgendeiner Staatsangehörigkeit festmacht, der hat mit seiner Vorstellung von Heimat ein Problem, primär ein populistisches Problem.",0
3266,1941,Deutschland ist nicht mehr lebenswerter für uns ka punkt punkt punkt ken ! Es wird zeit das wir alle unser koffer packen und die daitschen mit ihrem aus Rumänien neu eingewanderten roma/sinti migranten alleine lassen . Punkt aus ende der Diskussion,1
2770,500,"Seit wann ist er für Hessen verantwortlich.? Und ein Herr Jäger, Ex-Innenminister NRW hat Silvester 2015 wohl vertuschen wollen, bei Anis Amri versagt, nicht gegen die Clans gemacht..und klebte bis zum Ende an seinem Stuhl.Der hundertfache Kindesmissbrauch in Lüdge lag im Verantwortungsbereichs des Landrats , SPD..der die Ausfischt über die dortige Polizei hat-",1
2801,588,"Und wer weniger als 35 Jahre gearbeitet hat, muss von der Grusi leben. Hier sieht man mal die asoziale Ausrichtung dieser Partei.",1
3167,1672,"@USER mach dir keine sorgen boris , die gebildeten südländer hauen sowieso ab und diese assozialen die ihr daitschen gezüchtet habt bleiben bei euch. Habt ihr nicht anders verdient mit euere Verallgemeinerung und Diskriminierungen tagtäglich. Karma nenne ich sowas",1
1618,2469,"@USER Was für eine dämliche Logik: angeblich helfen wollen aber sollte es Pflicht werden, will man plötzlich nicht mehr helfen? Hören Sie sich mal selber zu! 🤦‍♀️",0
293,439,@USER was wollten Sie denn mit ihren Fragen erreichen!,0
730,1097,trinkt @MODERATOR immer Coke ?,0
1475,2264,"also ich fands gut wie er 1, 2 Mal versuchte den Schulze-Slang zu sprechen - fand ich spitze! Hatte sie nicht mal bemerkt in ihrem Redeschwall :D",0
2338,1853,Beim linksgrünen Klima- und Weltuntergangswahn nicht mitzumachen zeugt von einem IQ über 100.,1
992,1514,9 zu 2 . gutes ding,0
3196,1754,@USER heule ich ? Mensch petra reg dich mal ab du alte Buttermilch,1
1813,345,Wie man an der Regierung sieht !!! Frauen ohne Kompetenz wollen einen Flugzeugträger an Macron verschenken... oder brauchen Berater für die Berater ich kann nur den Kopfschütteln 🤦‍♂️ nein wir brauchen nicht mehr Frauen... wir brauchen Fachleute die ihr Handwerk verstehen...,1
1611,2460,manche menschen sind einfach nur uninformiert. sie wissen nicht was hirntot ist und auch nicht wie eine organentnahme funktioniert und diese menschen denken genauso wie sie....,0
2897,919,Vielen Dank auch für das Loeschen meines Kommentars. So wurde aus dem '@MODERATOR' geistig ein tiefes 'Plastal'.,1
1977,813,"Ganz im Gegensatz zu der Klima-Schülerin, nicht?",1
235,354,"@USER nein, Plasberg oder besser, die öffentlich rechtlichen Sender ist/ sind nicht die Welt. Wir dürfen diesen Irrsinn Monat für Monat teuer finanzieren... Sie, und auch ich!!!",0
526,799,Sie brauchen das vielleicht nicht. Andere brauchen oder möchten das schon. Es lebe die Vielfalt und besonders die Freiheit.,0
3162,1656,@USER ja man deine fresse 😅 viel glück bei den Frauen 👍,1
2273,1678,"@USER Diese 3 Muskel Tiere oder ihre Vorgänger, hatten mehr als genug Zeit ( ~20 Jahre ) etwas zu tun. Denn solange , wahrscheinlich sogar länger, haben wir diese Missstände ! Und nicht nur in der Altenpflege.",1
1436,2197,Ich bezweifle stark das der Anteil der Demonstranten auf die das zutrift auch eher gering ist.,0
3213,1808,"Ganz ehrlich: Wenn auch bei diesem Thema wieder diese mittlerweile unerträgliche Protegierung der Grünen fortgesetzt wird raste ich aus. Bereits 2018 nachweislich weit überproportional als unter 10%-Partei in Talkshows vertreten, wird das jetzt ungehemmt von den öffentlich rechtlichen Sendern weiter betrieben. Linke Umerziehung!? Im Sinne der Partei, die die öffentlich Rechtlichen mit der gleichen Summe wie bisher finanzieren will. Eine Hand wäscht die andere. Ganz ehrlich: Solange die Grünen da Woche für Woche in aller Breite und zu jeder Frage ihre Ideologien platzieren können, seid ihr mich definitiv als Kunden los.",1
370,572,@USER Da gebe ich Ihnen Recht ! Hab's auch im Freundeskreis ! Der will sein Haus verkaufen hat aber ein Mieter drin den er nicht Rausbekommt ( Trotz Rechtsanwalt) Der Staat muss Gesetze erlassen das auch Vermieter geschützt werden . Mietnomaden muss man von heut auf Morgen kündigen können . Es ist mein erarbeiten Geld,0
595,894,"Wenn Vermieter sich die Situation zu eigen machen und auch ein Stück des Kuchens abhaben wollen, dann sollte daraus eine Konsequenz folgen. Jeder Euro der über dem durchschnittlichen Mietpreis verlangt wird, sollte enteignet werden und in den sozialen Wohnungsbau fließen. Is natürlich Quatsch, wird nicht passieren... Aber irgend was muss doch miglich sein, um dieser Entwicklung entgegen zu wirken. Zurück zu anständigen Mietpreisen kommen wir ohnehin nicht. Im übrigen beobachte ich, dass die privaten Vermieter den Mietwucher zunehmend anheizen. Nicht nur die Großen Immobilienunternehmen sind die Abzocker!",0
966,1473,@USER Aber dann bitte auch selber kein Organ annehmen wenn es mal nötig werden sollte.,0
2737,425,"Sie verstehen offenbar nicht einmal, was Terrorismus bedeutet. Ein wenig politische Bildung würde Ihnen nicht schaden.",1
2750,461,"Ich hab jetzt Tikk! Muß die Alu Deckel von Yoghurt immer einzelnd wegwerfen. Zwangsstörung attestiert, cool danke, ich liebe tv framing",1
1884,522,""" Hauptsache, sie haben ganz konkret erfahrbar ""edel"" Leben gerettet und können sich in diesem Gefühl suhlen. "" Die AfD und Co. suhlt sich statt dessen in den Leichen der Menschen, die auf der Flucht ums leben bekommen sind.",1
1313,2020,"Na klar, wer ein Organ bezahlen kann. Dann sollten die Angehörigen das Geld bekommen",0
1032,1574,"Und die anderen zwei hier, ich bin der Alte auf dem Hinterrad, der gerne im Windschatten bis 120kmh beschleunigt. Und jetzt bin ich die Gefahr? Dass ich noch nie ein Unfall verursacht hatte, ist auch egal. Dreirad, soll woll auf Behinderung anspielen. Das ist nicht mein Humor!",0
2371,1942,Ich weiß nicht was mit unsereren nachfolgenden Generationen los ist. Soviel kann man gar nicht rauchen.,1
2015,959,Mit Verfassungsleugnern braucht man erst gar nicht zu diskutieren.,1
2789,540,"Wie doof muß man eigentlich sein,um diesen Lügnern dieses Sozialpaket ab zunehmen,wer hat denn die Agenta 2010 auf den Weh gebracht.Und nun merken die Verbrecher auf einmal,au, uns laufen ja die Wähler weg, besonders im Osten. Man Leute , wacht doch endlich auf,wie oft lasst Ihr Euch noch verarschen. Die haben einfach Angst.",1
2134,1279,"Pflegenotstand!! 50 000 neue Arbeitsplätze besetzen, wohl in 50Jahren, da ist die Fluktuation noch nicht eingerechnet..scheint unglaubwürdig..",1
1630,2489,Und das macht vielen Menschen immer wieder Heimat kaputt. Oder eben zum Sehnsuchtsbegriff,0
1005,1538,"@USER ...schrieb der Kumpel von Faschist Landolf Ladig, aka Bernd Höcke.",0
160,250,@USER Ach schau an. Nach zwei Kommentaren erkennen sie meine politische Einstellung? Ein wunderbares Beispiel für Populismus. Das Leben kann so einfach sein.,0
1676,2554,"Wir haben unseren Haushalt völlig auf energiesparende Geräte umgestellt, das spart rund 1000 kw/h jährlich. Die Ölzentralheizung wurde gegen eine Holzpelletheizung ausgetauscht. Alle Wege zur Arbeit und zur Schule werden konsequent mit dem Fahrrad oder mit öffentlichen Verkehrsmitteln zurückgelegt. Flugzeuge benutzen wir äußerst selten, Kreuzfahrten unternehmen wir nicht und wir haben unseren Fleischkonsum reduziert.",0
896,1361,"@MEDIUM, wenn Sie Betroffene völkischer Hassverbrechen einladen würden, wären Sie glaubwürdig.",0
3199,1766,Mohammed war auch der einzige der weiß wovon er redet. ist jetzt jeder moslem ein IS Terrorist. Das was du sagst ( weitergedacht ) kann dir zum Verhängnis werden,1
220,330,"Migrant heißt nichts anderes als: gewandert. Es ist kein Schimpfwort an sich, sondern das Wort für eine Tatsache.",0
197,294,"""Das Geld dafür kann man doch einfach drucken. Weggedieren Sie weiter‼️"" Ich verweise auf die grundegelde Funktionsweise unseres Geldsystems und die Ausarbeitung der BAG Grundeinkomen DIE LINKE.",0
2034,999,"Hier 'ne Großpackung Taschentücher, du Heulsuse. Kleiner Rassist das bist du, sonst nix.",1
1368,2099,Die Bezeichnung ist Top .lach,0
579,872,"Wat soll das werden wenns mal groß wird ""Eliten-Kritik""?!",0
1335,2054,@MEDIUM Vielen Dank für diese Info,0
3382,2260,"@USER Aber nicht so wie der kleine SPD Junge es ""andenkt"" mit Enteignung. Erst werden die Wohnungen an Private verkauft, dann wundert man sich das die Mieten steigen, dann will man enteignen. So kann nur ein Soze denken. Zur Enteignung gehört auch eine Entschädigung (steht so in den Gesetzen). Erst verkauft man, dann kauft (enteignet) man zu einem erhöhten Preis zurück... und das Geld fehlt dann für Neubauten ohne das sich an den wenigen Wohnungen was geändert hat. Die rendite beträgt bei den Privaten ca. 10 %, genau um diesen Betrag würde die Miete dann sinken. Ob das der Weisheit der letzte Schluß ist möchte ich bezweifeln weil es eben, mangels Geld, keinen neuen Wohnraum geben wird.",1
837,1265,@USER für die wird sogar gebaut.,0
246,375,"Bei ""Staatsfernsehen"" konnte ich dann endgültig zu lesen aufhören.",0
1504,2307,Purer POPULISMUS....... Hauptsache Einschaltquoten.......,0
1587,2420,"Menschen disquallifizieren sich selbst, wenn sie die Flüchtlinge bekämpfen, anstatt die Fluchtursachen.",0
