,comment_id,comment_text,Sub1_Toxic,Sub2_Engaging,Sub3_FactClaiming
91,2841,"The AfD, with its insults, lies and xenophobia, has contributed at least to the threatening of the culture of discussion. And how quickly to follow words, deeds has been seen in this assassination. Of course, the AfD and its supporters bear a co-inflict.",0,0,1
92,2288,(: I choose Blue (AfD) and think that Mr Meuthen is the best man in Brussels. (: Only from the inside can we change the mistakes in Brussels. (: That is why it is important that the patriots in Brussels are joined and strengthened.),0,1,0
93,737,@USER isch aabe gar kei Auddo,0,0,1
94,2308,they don't want to understand if you're not represented by any of the parties and only make stupid promises...you don't vote or AfD anymore! All these discussions are just distracting...,0,1,1
95,1712,"This regulation is the last nonsense. 1. The thoughts are free. Since when can I be forced to think about, for politics, important issues? 2. With everything else a consent must be made in writing and not a rejection (for contracts on the Internet for example). And here the principle can be reversed at once? 3. There is the law against corpse damage. But this applies to doctors at once no more? A dead person, without whose clear consent, the organs are to be taken from corpse damage. Finished! Some here do not seem to be aware of this yet. Just like the circumstance that this law first disintegrates the citizen. The dead person has lost all the rights to his dead body at first. People who are physically unable to make such decisions are simply placed before the complete fact. ""You have not spoken again in writing, so we simply do not understand. Mündlich does not apply."" Finally, it is time again to take legal action against such a thing, so that the politics finally understands that in such a case the self-determination cannot be reversed.",0,1,1
96,2259,"@MEDIUM that artet then again as court proceedings, where the AfD is completely destroyed.",0,0,0
97,1072,"I don't want a law that sets a quota of women in leadership positions, even as a woman, you should only strive for a leadership position if the relevant core competencies exist. A typical classic misoccupation is, for example, our defence minister. Sorry that I say so, but you would be better as a family minister. However, it would be desirable for men and women to be treated equally in professional life if they both have the same qualifications.",0,1,0
98,2790,No platform for racists that isn't just left-green in Buntland,1,0,0
99,2505,This also has to do with the many advertisements in the media. Also for the topics of the Greens many trees have to die. That is of course something different with the Greens.,0,0,0
100,888,Why wasn't the policewoman asked why she wasn't riding in uniform for free?,0,0,0
101,2818,@USER always this double morale,0,0,0
102,2641,@USER then go to the dove to visit your countries,0,0,0
103,907,@USER can you explain this in more detail? How long have you been working as a broker to assess this?,0,0,0
104,927,"The SPD laws, which deal with market-economy principles, have all worked very well. (market)Economy is the core competence of the Sozen, so to speak. ;-)",0,0,1
105,1711,@USER idiotic comment.,1,0,0
106,1651,"Dr. Matthias Heil (Max Planck Institute for Heart and Lung Research): ""The CO2 content of the exhaled air is quite constant at 4 percent, i.e. 40 milliliters of CO2 per litre of air. This corresponds to about 80 milligrams at 0 degrees Celsius. While at rest about 4 liters of air per minute pass through the lungs, this increases to more than 50 liters per minute with physical load. Over the year, these two extremes mean 2,100 cubic meters of air or 168 kilograms of CO2 at rest compared to 25,500 cubic meters of air or 2,040 kilograms of CO2 at continuous load.""",0,1,1
107,2609,@USER thinks well? all clear - no comment - meaningless!,0,0,0
108,2640,@USER well you don't fly to home,0,0,0
109,1138,So who determines what's right and what's wrong? This young lady with the double name? This increasing gait is annoying!,1,0,0
110,1305,It remains at the blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah,1,0,0
111,799,Again it's only about ratings. On the one hand they demonize the social media. But to earn money they are probably good enough.....,0,0,1
112,2412,@USER never prescribed ? With beautiful words we already have more to do than it is healthy,0,0,0
113,415,"I think that's perfectly all right, as long as I don't have to make another urine sample.",0,0,0
114,1793,"@USER there are 3 paintings, where is the problem? where is your enlightening contribution???",1,0,0
115,2099,"@MEDIUM Always the same ""talk guests""! Do you get extra grants for this??",1,0,1
116,3179,@USER check under RAF,0,0,0
117,26,""" 675 billion!"" This is your mistake of thinking. What kind of name can the state of Germany resort to?",0,0,1
118,73,@USER if these formerly self-employed have paid in then they also have a right to it. I know one who at the beginning of his self-employment still has paid in later then however no more. Now he gets minimum pension.,0,1,0
119,702,"Urban areas are built primarily with social housing. Mosques, shopping centers or such a humbug does not help anyone. Owners of empty buildings or undeveloped land in agglomerations are obliged by law to build social housing there or they have to pay fines. From the penalty fees the state then builds social housing itself again. Money is available in abundance. It is only transported with both hands to the window for consultants or superfluous ministries such as the ""home ministry"".",0,1,1
120,1865,"@USER you compare apples with pears,but no matter!",0,0,0
121,1167,We are now at the Goldbergs Glubschis.,1,0,0
122,1837,"A duty to negate an organ donation opens the organ donor mafia door and gate. A doctor talks with paramedics and says: ""If he has an organ donor card and does not want donations, let the identity card disappear!"". Schwupp is the one who did not want donations, organ donor. And Mr. Spahn wanted to force people to think about the organ donation. Since when can politics force thoughts on me. I still think about what I want to think about. The thoughts are finally ""still"" free.",0,1,1
123,503,"@USER Then I ask you to read all the comments including my entry comment. The title of the programme asks if someone like me can consider Germany his homeland (DARF) or not. Already in the third comment this PRINCIPLE RIGHT is denied to me by being called a foreigner. I have never accepted it and will never accept it. Why? Because I love my HEIMAT. My actions and who I am unfortunately do not play a role here, only the origin of my father is important. No mistake of thinking on my part.",0,1,1
124,1820,"@USER one is forced after all.!!!!!! They will disembowel me if I do not disagree, naughtyness. Who I agree with I would have a donor card...end",1,0,0
125,1156,What day is it?,0,0,0
126,3095,the ignorance of the others!!,1,0,0
127,3027,"You can see it again and again, the AfD is always responsible for everything and probably also for the bad election results for the People's Party? The AfD only exists because the People's Party has provided for it with its bad politics. Why are people who used to be in the CDU, now in the AfD as well as Mr Gauland?????",1,0,1
128,1152,"QUATSCH, I WAS A COUNTRY OF BUB HAVE ALSO PLAYED WITH POPE, GESTRICKT, GESTICK , GET , GET , GET , BAKE , GET , GOT BEFORE THE PFADFINDERS BETWEEN THE COOK AND SHOULD THE COOK TOP SCHLEPPEN ...DOLL",1,1,0
129,376,black green in Bavaria if the eggwanger fails.,0,0,1
130,1570,"Why only do everyone make such an afflictive grit, that immediately stimulates to switch on. can not one bring a few friendly examples, in order not to have the feeling that we all have to die tomorrow. who then cares for the newcomers here? hmm - for me the HR is a much more positive transmitter than the WDR, where every evening also in the previous evening program is fairytale.",1,0,0
131,146,"One problem is that the children, the hardly or not existing social security system, are stabbed.",0,1,0
132,2107,Wrong attitude!,0,0,0
133,2792,@USER oh,0,0,0
134,2333,but you know !!!!,1,0,0
135,770,"We simply need more apartments in private hands or in small housing companies. Thus one breaks the monopoly of the large societies without problems. And by the way, Mr. Schick: In the surrounding area of Munich the political opponent rules. And he is just as incapable of stopping the lack of housing. And this political opponent places the state government and could play a steering role in this regard. But neither does this party power.",0,1,1
136,2026,"Blackrock, Cerberus,...",0,0,0
137,2737,And the everyday terror of our grateful new citizens?,1,0,0
138,149,I don't take the AfD seriously in view until they demonstrate against the causes of flight.,0,0,0
139,565,"She's a German. The world doesn't need neo-eugenics, it's been shit before and it's still today.",1,0,1
140,467,@USER Ich schiperechen daitsch nix gut nix schiellet . So so medium yani,1,0,0
141,2966,"I agree with you, because today you are very quickly placed in the right corner and your reputation is damaged! Just because you have different opinions... But both sides are dangerous!",0,1,0
142,2063,I don't agree with the vote.,0,0,0
143,2265,... he's in bed with flu.,0,0,1
144,1963,"Dear @MEDIUM, I would have thought of my choice of words if you had seemed to me and would have reminded Dirk for his comment, to me. In any case, there is only tolerance free, respect must be earned for yourself. Neither your Jesuit mission nor any auto-wage minister and Dirk has ever done so at all.",1,1,0
145,1792,"@USER Maybe you're coincidence, I'm a child of desire, that's still there and sperm it wasn't - but a sperm and you don't blaspheme about the faith. If I was a Muslim you would certainly say otherwise.",1,0,0
146,395,"@MEDIUM, then it would have become really funny to put Mrs Schulze from the Greens on that, and not Mrs KGE. Schulze is funny, especially when it comes to critical questions or where position should be taken. So the audience would at least have something to laugh at and the voters would have an insight into the Greens 😉",1,1,0
147,1715,"@USER Watch films like ""Coma"". The film is from the 70s and has already had interesting approaches that have come true afterwards. But then it was called science fiction. Today it already exists and already happens.",0,1,1
148,1608,"They may have discussed it internally, but they have not discussed it on the outside.",0,0,1
149,715,"You can only heal the demand market by promoting ownership that Germany sometimes has a reasonable ownership rate. now 35% Italy,Ireland,Romania 93% ...Whoever moves into a property makes a rental flat free...Doll",0,1,1
150,2150,"And, @USER, apparently they lack the arguments so much that they just offend. I'm sorry, I won't let myself be seduced and bend so deeply to reach their level.",1,0,0
151,2739,Lleider didn't speak much enough.,0,0,0
152,1848,a quick court decision must always intervene...,0,1,0
153,2615,Now we can pay 300 million for a toll that's a pipe-craper,0,0,1
154,65,"Mr/Woman whoever, if a person has paid a little into the pension fund, for whatever reasons, this pensioner unfortunately cannot get a tens of thousand euros pension. However unpleasant that is.",0,0,1
155,2461,"7 guests and 1 moderator, in 75 minutes...what should come out of it? ...I was also 25 years in the job, in East and West, was always talked a lot, only NOTHING has changed... decent working conditions and decent pay would provide enough staff...we do not need skilled personnel, but decent training for our children....",0,1,0
156,1679,"Yes I see that as well.No one knows what you feel when you die,I have lung cancer my lung doctor on the question of how to die ""they don't want to know that but maybe they get lucky before a stroke or heart attack...Doll",0,0,1
157,1762,... then go to the doctor,0,0,0
158,831,@USER Explain me,0,0,0
159,2385,"@USER in many countries in the EU it is provisional final result, if you know what it means!",1,0,1
160,2708,"@MEDIUM I'm sorry who can read properly, is clearly in advantage.",0,0,0
161,2350,@USER Hopefully!,0,0,0
162,2951,This masquerade goes to the valley of how to behave,0,0,0
163,365,sets 5 Turks in the round oh sorry Neudeutsche then something comes out..,1,0,0
164,613,Why does an AFD bird have to be there?,1,0,0
165,1505,"I can't wait to see when legislation is required, how often you can breathe in the hour.",1,0,0
166,388,@USER such a bullshit!!!!!,1,0,0
167,400,"I don't care if Peter, Lin, Achmed or Dmitry calls the Brd Heimat. As long as they contribute to a good relationship, I am happy about everyone who grows to the heart of Germany through birth or out of choice as a homeland.",0,1,0
168,2440,Episode 1001 of the cartel-oriented theme setting on a public-funded trend channel.,1,0,0
169,36,Fits to the topic Friedmann yesterday where the CDU politician said the low earner should buy immobiles so that they will not become needy later,1,0,1
170,2811,"@USER here you read!!!! I give this brown idiot boy a Mediterranean boat ride. In the rubber boat. Without life jacket and heavy sea. Don't understand why you give such a degenerated idiot broadcasting time!? These monkeys present themselves in so many different ways and always the same shit. Lübcke ""must die and guys like the boy live on. Somehow not quite understandable, what drives the universe so.",1,1,1
171,219,"""more homophobia"" That's right. AFD sends her regards.",0,0,0
172,2036,I apologize to England for such a big-head show..,1,0,0
173,3196,"@USER sorry, but you are not realistic and are trying to relativize and strengthen my comment! Yes, in nursing homes and also in outpatient care millions of people suffer from the consequences of the politics of recent years!",1,0,0
174,1303,"@USER soso, the moon had an atmosphere, help! Who wakes me....",1,0,0
175,1946,"One of the world's most important things in life is that the world's most important thing is that the world's most important thing is that the world's most important thing is that the world's most important thing is that the world's most important thing is that the world's most important thing is that the world's most important thing is that the world's most important thing is that the world's most important thing is that the world's most important thing is that the world's most important thing is that the world's most important thing is that the world's most important thing is that the world's most important thing is that the world's most important thing is that the world's most important thing is that the world's most important thing is that the world's most important is that the world's most important is that the world's most important thing is that the world's most important thing, that the world's most important is that the world's most important thing.",0,1,1
176,2912,"No arguments, anti-intellectualist, stammering, larmoyant: So are the supporters of the Volkisch-nationalist AfD.",1,0,0
177,1754,I hope I was respectful in her opinion.,0,0,0
178,3055,"This has absolutely nothing to do with double morale but with rules and rules that apply at a session of the Bundestag. However, they certainly know that themselves.",0,0,0
179,1768,@USER This is a problem for me,0,0,0
180,399,@MEDIUM Maybe you'll show the comment in the show?,0,0,0
181,381,"What is this tonight, Migrants' Meeting, where the Germans are told how they have to adapt in their own country? Unbelievable",1,0,0
182,451,"@USER clear, your mudda has already one, for you there is also one",1,0,0
183,2010,"If a 2/3 majority were to be applied to decision-making and thus decided for or against Brexit, the matter would be much clearer and the island people would not be so divided.",0,1,0
184,341,I believe that you can have several homelands. And that neither one should say: this is not your home. Nor should you insult your fellow human beings themselves.,0,1,0
185,3001,I immediately sign this (can't like it just because of a bug from Facebook).,0,0,0
186,2838,@USER they will still wonder,0,0,0
187,1112,@USER I'd mentioned that earlier,0,0,1
188,1264,"As long as other countries do what they want , we Germans can try as we want . I believe climate change comes either way.",0,0,1
189,1783,@USER my goodness ....Kindergarten,0,0,0
190,476,Who's that?,0,0,0
191,202,How did she make the vegetables?,0,0,0
192,944,"In the country, only politicians can make money and everyone else has to nibble at the minimum subsistence or what's going on here?",0,0,0
193,1966,"@USER ! If you don't have any ID with you, the willingness to donate is useless. This is meant by the 84%, or I'm too stupid to understand that. Only that wants to change Spahn, where he is right about the law. Otherwise I'm not a Spahn fan.",0,0,1
194,2161,I worked a lot as a fitter over 7 years with Saturday & Sunday but a cottage in my home town was only possible through my wife's grandpa.,0,0,0
195,1713,"@USER @USER means that when organs are running out, the agonists suddenly say that the dead man had no contradiction, even though he had one. Then he is not necessarily found. Who wants to prove it afterwards?",0,0,0
196,775,"The most outrageous and lying guest you've ever had, and the bar is damn high.",0,0,0
197,2405,"The good old CSU is Germany's, um... Bavaria's, last stable People's Party. Keep it up!",0,1,0
198,1824,"@USER yes definitely, quite wrong approach of politics",0,0,0
199,2184,"@USER rarely read such a stupid comment. ---brand company: producing in China, Thailand, Bangladesh, etc. Mass market and overproduction dominates the dictates of prices! What kind of underexposure do you compete with?",1,0,1
200,2225,"@MEDIUM I would like to show you messages that I would never send to anyone, but received myself. That's miles away from the sometimes somewhat hearty statements I've made.... Why don't you make a broadcast about how rights, of course mostly as fakes, rush and threaten on the Internet? Can you invite me to come, I would come?",0,0,0
201,967,"@USER Time and again the GDR Gelaber, comes with content.",1,0,0
202,2560,@USER I have read who is the daughter of Schäuble and for whom you work zb - just goggle'n,0,0,1
203,2650,He is right! Even if now the Green followers weather against it... Truth is just unbearable 😉,0,1,0
204,1313,Instead of climate warming now climate change. As you need it!,0,0,0
205,401,@USER He has his luxuriant salary under control. This issue could be cut in the ton....,0,0,0
206,2190,@USER he resides in a palace but has always and everywhere failed? 简 Yes nee is clear ,1,0,0
207,2682,@USER please tell me what your morale about it says the Greens together with CDU against the SPD drop the NSU files 120 years under the table?!,0,0,1
208,806,"@MEDIUM You give the descendants of the Honecker criminals a platform. This is an outrage. Forget everything that was 30 years ago? Unbearable such a broadcast format with a transfigured look towards socialism! You can rejoice at ""other opinions"" and record as they want, I don't do that, I have experienced this sh... personally.",0,0,0
209,2434,"Would have some good suggestions from local experiences for each of the three, but I think they'd rather hear themselves talking than listening to others.",1,0,0
210,1018,FDP is just a laugh club. The boss says the state must be leaning us then comes from one problem to another a bureaucracy monster. Like Rent-TÜV. -----Deutsche Annington/Vonovia puts tenants in front of the door by unnecessary renovation. But Lobby FDP sees that differently. Nothing new.,0,0,1
211,82,@USER Ästill before the election otherwise stay as usual5s,0,0,0
212,2147,"@MEDIUM They seem to have missed the fact that Statistica uses the figures of the BAMF, laugh.",1,0,1
213,600,The broadcast of this show - in particular the absolutely impossible appearance and behavior of this aggressive #TURKIN * has more than clearly shown that the integration of #EXPENDENTS is quite clear #SPEED! ,1,0,1
